index,County,Precinct,Registered Voters,Micheal Kirby (Rep)_Election Day Votes,Micheal Kirby (Rep)_Advanced Voting Votes,Micheal Kirby (Rep)_Absentee by Mail Votes,Micheal Kirby (Rep)_Provisional Votes,Micheal Kirby (Rep)_Choice Total,Derrell Neal (I) (Dem)_Election Day Votes,Derrell Neal (I) (Dem)_Advanced Voting Votes,Derrell Neal (I) (Dem)_Absentee by Mail Votes,Derrell Neal (I) (Dem)_Provisional Votes,Derrell Neal (I) (Dem)_Choice Total,Total,
0,Marion,Pineknot,971,168,116,27,0,311,149,150,64,0,363,674,
1,Marion,Buena Vista,2343,62,289,49,0,400,201,752,440,0,1393,1793,
2,Marion,Tazewell,320,47,40,7,0,94,70,65,26,0,161,255,
3,Marion,Brantley,396,37,95,11,0,143,42,80,44,0,166,309,
4,Marion,Fort Perry,883,94,139,31,0,264,110,130,76,0,316,580,
