index,County,Precinct,Registered Voters,Marshall Fontaine (Rep)_Election Day Votes,Marshall Fontaine (Rep)_Advanced Voting Votes,Marshall Fontaine (Rep)_Absentee by Mail Votes,Marshall Fontaine (Rep)_Provisional Votes,Marshall Fontaine (Rep)_Choice Total,Clifton Holloman (Dem)_Election Day Votes,Clifton Holloman (Dem)_Advanced Voting Votes,Clifton Holloman (Dem)_Absentee by Mail Votes,Clifton Holloman (Dem)_Provisional Votes,Clifton Holloman (Dem)_Choice Total,Total,
0,Marion,Pineknot,971,301,228,64,0,593,13,32,24,0,69,662,
1,Marion,Buena Vista,2343,99,545,151,0,795,165,482,328,0,975,1770,
2,Marion,Tazewell,320,107,95,22,0,224,12,10,11,0,33,257,
3,Marion,Brantley,396,74,157,43,0,274,6,14,12,0,32,306,
4,Marion,Fort Perry,883,168,229,69,0,466,33,37,38,0,108,574,
