index,County,Precinct,Registered Voters,Benjamin Singleton (Rep)_Election Day Votes,Benjamin Singleton (Rep)_Advanced Voting Votes,Benjamin Singleton (Rep)_Absentee by Mail Votes,Benjamin Singleton (Rep)_Provisional Votes,Benjamin Singleton (Rep)_Choice Total,Total,
0,Marion,Pineknot,971,293,235,69,0,597,597,
1,Marion,Buena Vista,2343,216,831,312,0,1359,1359,
2,Marion,Tazewell,320,109,100,29,0,238,238,
3,Marion,Brantley,396,78,163,47,0,288,288,
4,Marion,Fort Perry,883,191,245,90,0,526,526,
