index,County,Precinct,Registered Voters,Phylis Ewing_Election Day Votes,Phylis Ewing_Advanced Voting Votes,Phylis Ewing_Absentee by Mail Votes,Phylis Ewing_Provisional Votes,Phylis Ewing_Choice Total,Total,
0,Marion,Pineknot,971,296,238,70,0,604,604,
1,Marion,Buena Vista,2343,222,875,344,0,1441,1441,
2,Marion,Tazewell,320,115,99,27,0,241,241,
3,Marion,Brantley,396,74,162,50,0,286,286,
4,Marion,Fort Perry,883,187,244,91,0,522,522,
