index,County,Precinct,Registered Voters,Norman (Coach) Royal (I) (Dem)_Election Day Votes,Norman (Coach) Royal (I) (Dem)_Advanced Voting Votes,Norman (Coach) Royal (I) (Dem)_Absentee by Mail Votes,Norman (Coach) Royal (I) (Dem)_Provisional Votes,Norman (Coach) Royal (I) (Dem)_Choice Total,Total,
0,Marion,Buena Vista,2343,91,316,186,0,593,593,
1,Marion,Brantley,396,4,10,9,0,23,23,
