index,County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
0,Marion,Pineknot,971,282,213,60,0,555,30,46,30,0,106,661,
1,Marion,Buena Vista,2343,82,474,119,0,675,182,548,369,0,1099,1774,
2,Marion,Tazewell,320,91,83,9,0,183,26,21,23,0,70,253,
3,Marion,Brantley,396,65,150,30,0,245,12,22,25,0,59,304,
4,Marion,Fort Perry,883,161,209,64,0,434,41,57,44,0,142,576,
