index,County,Precinct,Registered Voters,Bobbie Giles Brown (I) (Dem)_Election Day Votes,Bobbie Giles Brown (I) (Dem)_Advanced Voting Votes,Bobbie Giles Brown (I) (Dem)_Absentee by Mail Votes,Bobbie Giles Brown (I) (Dem)_Provisional Votes,Bobbie Giles Brown (I) (Dem)_Choice Total,Total,
0,Clay,Bluffton,383,53,132,57,0,242,242,
1,Clay,Zetto,366,53,123,57,0,233,233,
2,Clay,Court House,390,61,111,57,0,229,229,
3,Clay,Old Head Start,453,58,139,84,0,281,281,
4,Clay,Days Cross Road,461,54,156,93,0,303,303,
