index,County,Precinct,Registered Voters,Patrick Shivers (I)_Election Day Votes,Patrick Shivers (I)_Advanced Voting Votes,Patrick Shivers (I)_Absentee by Mail Votes,Patrick Shivers (I)_Provisional Votes,Patrick Shivers (I)_Choice Total,Total,
0,Clay,Bluffton,383,58,134,56,0,248,248,
1,Clay,Zetto,366,54,115,51,0,220,220,
2,Clay,Court House,390,51,111,53,0,215,215,
3,Clay,Old Head Start,453,55,138,85,0,278,278,
4,Clay,Days Cross Road,461,55,163,91,0,309,309,
