index,County,Precinct,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,
0,Clay,Bluffton,383,40,104,41,0,185,17,39,26,0,82,267,
1,Clay,Zetto,366,18,65,27,0,110,38,66,40,0,144,254,
2,Clay,Court House,390,18,53,26,0,97,46,66,43,0,155,252,
3,Clay,Old Head Start,453,25,100,39,0,164,32,49,60,0,141,305,
4,Clay,Days Cross Road,461,36,130,44,0,210,25,52,53,0,130,340,
