index,County,Precinct,Registered Voters,Patricia A. Thornton (I) (Dem)_Election Day Votes,Patricia A. Thornton (I) (Dem)_Advanced Voting Votes,Patricia A. Thornton (I) (Dem)_Absentee by Mail Votes,Patricia A. Thornton (I) (Dem)_Provisional Votes,Patricia A. Thornton (I) (Dem)_Choice Total,Total,
0,Clay,Bluffton,383,49,122,55,0,226,226,
1,Clay,Zetto,366,54,113,57,0,224,224,
2,Clay,Court House,390,60,109,57,0,226,226,
3,Clay,Old Head Start,453,56,128,84,0,268,268,
4,Clay,Days Cross Road,461,49,147,87,0,283,283,
