index,County,Precinct,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,
0,Clay,Bluffton,383,37,86,25,0,148,16,55,44,0,115,263,
1,Clay,Zetto,366,16,50,13,0,79,38,75,54,0,167,246,
2,Clay,Court House,390,11,34,16,0,61,50,83,50,0,183,244,
3,Clay,Old Head Start,453,22,69,19,0,110,36,73,78,0,187,297,
4,Clay,Days Cross Road,461,33,119,36,0,188,25,55,61,0,141,329,
