index,County,Precinct,Registered Voters,Locke Shivers (I) (Ind)_Election Day Votes,Locke Shivers (I) (Ind)_Advanced Voting Votes,Locke Shivers (I) (Ind)_Absentee by Mail Votes,Locke Shivers (I) (Ind)_Provisional Votes,Locke Shivers (I) (Ind)_Choice Total,Total,
0,Clay,Bluffton,383,57,132,55,0,244,244,
1,Clay,Zetto,366,53,114,53,0,220,220,
2,Clay,Court House,390,53,106,52,0,211,211,
3,Clay,Old Head Start,453,57,139,87,0,283,283,
4,Clay,Days Cross Road,461,57,164,90,0,311,311,
