County,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_TOTAL VOTES",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_TOTAL VOTES,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_TOTAL VOTES,Total,
Appling,1606,828,3610,9,6053,307,526,767,2,1602,47,26,88,0,161,7816,
Atkinson,656,156,1284,1,2097,198,126,375,0,699,23,1,37,0,61,2857,
Bacon,391,458,2886,1,3736,113,172,251,1,537,25,7,46,0,78,4351,
Baker,264,125,435,1,825,138,228,252,0,618,9,4,11,0,24,1467,
Baldwin,1775,1291,5576,4,8646,1439,2799,4227,1,8466,140,77,251,0,468,17580,
Banks,1548,994,4868,11,7421,134,311,392,3,840,60,34,133,0,227,8488,
Barrow,5547,4005,16208,3,25763,1511,3217,4623,3,9354,491,294,752,0,1537,36654,
Bartow,9611,5801,20737,17,36166,1983,4025,4959,7,10974,605,350,800,3,1758,48898,
Ben Hill,416,510,3017,0,3943,303,661,1240,0,2204,43,31,90,0,164,6311,
Berrien,1744,725,3658,9,6136,304,316,505,0,1125,54,26,78,0,158,7419,
Bibb,7696,5466,13068,38,26268,8133,13227,19171,117,40648,633,367,712,6,1718,68634,
Bleckley,913,593,2687,1,4194,273,392,540,0,1205,31,16,66,0,113,5512,
Brantley,1801,628,4001,8,6438,147,187,314,0,648,61,32,91,0,184,7270,
Brooks,1318,499,2206,2,4025,494,1042,1055,2,2593,47,22,66,0,135,6753,
Bryan,2475,1614,9820,4,13913,721,1832,3366,3,5922,198,153,409,0,760,20595,
Bulloch,6419,2828,8868,23,18138,2159,3175,4724,30,10088,351,165,378,1,895,29121,
Burke,1828,628,2710,0,5166,1385,1755,1730,0,4870,84,38,85,0,207,10243,
Butts,791,1071,6194,1,8057,343,889,1771,1,3004,42,68,186,1,297,11358,
Calhoun,263,148,481,0,892,338,414,431,0,1183,8,2,8,0,18,2093,
Camden,3372,2099,9091,2,14564,1033,2487,3636,4,7160,339,177,512,0,1028,22752,
Candler,1525,364,1135,0,3024,473,356,322,1,1152,52,8,18,0,78,4254,
Carroll,10611,4580,21011,26,36228,2690,4213,7870,14,14787,632,313,889,3,1837,52852,
Catoosa,4820,2847,16283,14,23964,863,1882,3386,6,6137,385,152,627,2,1166,31267,
Charlton,1026,363,1781,1,3171,216,275,495,0,986,38,10,54,0,102,4259,
Chatham,17877,12231,22641,89,52838,16315,26533,29003,165,72016,1701,1021,1421,19,4162,129016,
Chattahoochee,270,123,430,2,825,137,151,303,1,592,25,13,27,0,65,1482,
Chattooga,2265,1018,4169,4,7456,369,622,774,2,1767,89,63,145,0,297,9520,
Cherokee,22830,19741,55090,15,97676,5378,14826,16548,4,36756,2057,1430,2477,5,5969,140401,
Clarke,3378,4372,7282,14,15046,4755,13166,15237,31,33189,602,453,669,6,1730,49965,
Clay,124,105,392,0,621,154,271,296,0,721,9,8,5,0,22,1364,
Clayton,2787,4028,7243,40,14098,16145,26116,49841,418,92520,868,640,1296,13,2817,109435,
Clinch,575,201,1178,1,1955,178,131,303,0,612,21,8,26,0,55,2622,
Cobb,37025,54168,77370,157,168720,27032,85127,88389,302,200850,4555,4729,5491,33,14808,384378,
Coffee,2375,871,6662,7,9915,1008,910,2156,3,4077,87,37,144,1,269,14261,
Colquitt,4055,1352,5891,10,11308,1006,1067,1661,3,3737,122,45,151,0,318,15363,
Columbia,13158,7294,29565,40,50057,4248,8418,13204,27,25897,908,458,1208,3,2577,78531,
