OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edited_date
1,13,173,13173,Lanier,Lanier County,10078,N,N,N,N,N,N,N,Southern Georgia,127874,199.80299377,LANIER,{7D637994-1D29-4646-A85C-439C1A06EA0E},1970/01/01 00:00:00+00
2,13,029,13029,Bryan,Bryan County,30233,N,N,N,N,N,N,N,Coastal Regional Commission,291269,455.10800171,BRYAN,{AB662CC0-3C43-4DFC-A03B-ED6CA5322980},1970/01/01 00:00:00+00
3,13,001,13001,Appling,Appling County,18236,N,N,N,N,N,N,N,Heart of Georgia Altamaha,328037,512.5579834,APPLING,{DE5A63BB-4A0F-47A0-8306-85F49CF71F18},1970/01/01 00:00:00+00
4,13,241,13241,Rabun,Rabun County,16276,N,N,N,N,N,N,N,Georgia Mountains,241186,376.85400391,RABUN,{9D3BC405-11BB-4510-85AB-C97A8ADC6B07},1970/01/01 00:00:00+00
5,13,023,13023,Bleckley,Bleckley County,13063,N,N,N,N,N,N,N,Heart of Georgia Altamaha,140237,219.1210022,BLECKLEY,{7667A96C-97FB-49CF-928D-C58C7E4156D7},1970/01/01 00:00:00+00
6,13,113,13113,Fayette,Fayette County,106567,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,127543,199.28599548,FAYETTE,{0089049C-AF9E-48C9-83D8-75FE86DFE045},1970/01/01 00:00:00+00
7,13,163,13163,Jefferson,Jefferson County,16930,N,N,N,N,N,N,N,Central Savannah River Area,339141,529.90802002,JEFFERSON,{BE814DFF-62AC-4909-8B25-C2638D21012D},1970/01/01 00:00:00+00
8,13,253,13253,Seminole,Seminole County,8729,N,N,N,N,N,N,N,Southwest Georgia,164181,256.53201294,SEMINOLE,{D227238E-663F-4D59-A9D0-179A2579919C},1970/01/01 00:00:00+00
9,13,039,13039,Camden,Camden County,50513,N,N,N,N,N,N,N,Coastal Regional Commission,501015,782.8369751,CAMDEN,{555DA342-487B-4B0D-B256-5CC3469005F0},1970/01/01 00:00:00+00
10,13,127,13127,Glynn,Glynn County,79626,N,N,N,N,N,N,N,Coastal Regional Commission,375084,586.06799316,GLYNN,{6208F96C-ED25-40A7-A0AD-E5B058E9F826},1970/01/01 00:00:00+00
11,13,233,13233,Polk,Polk County,41475,N,N,N,N,N,N,N,Northwest Georgia,199774,312.14700317,POLK,{750B0C1D-5CE0-47F6-8605-ADFE1B0E676B},1970/01/01 00:00:00+00
12,13,211,13211,Morgan,Morgan County,17868,N,N,N,N,Y,N,N,Northeast Georgia,226933,354.58300781,MORGAN,{77264900-C504-4F22-BA88-409240758961},1970/01/01 00:00:00+00
13,13,263,13263,Talbot,Talbot County,6865,N,N,N,N,N,N,N,River Valley,252604,394.69400024,TALBOT,{3389D449-5ABA-4E65-A632-2E0E1FDB6EA4},1970/01/01 00:00:00+00
14,13,249,13249,Schley,Schley County,5010,N,N,N,N,N,N,N,River Valley,107386,167.78999329,SCHLEY,{2F5FBCAA-09BB-4772-8AE4-FBA26B1847B9},1970/01/01 00:00:00+00
15,13,291,13291,Union,Union County,21356,N,N,N,N,N,N,N,Georgia Mountains,210522,328.94000244,UNION,{93971501-44A7-418F-B32B-5B331706FAD4},1970/01/01 00:00:00+00
16,13,315,13315,Wilcox,Wilcox County,9255,N,N,N,N,N,N,N,Heart of Georgia Altamaha,244539,382.0920105,WILCOX,{A70295BA-6C76-4EA8-992F-3C0DAD146AF5},1970/01/01 00:00:00+00
17,13,299,13299,Ware,Ware County,36312,N,N,N,N,N,N,N,Southern Georgia,581392,908.42498779,WARE,{BAB3887B-1194-4503-9B32-1CE8A6A3ACB5},1970/01/01 00:00:00+00
