index,County,Precinct,Registered Voters,James G. Ellington (I) (Rep)_Election Day Votes,James G. Ellington (I) (Rep)_Advanced Voting Votes,James G. Ellington (I) (Rep)_Absentee by Mail Votes,James G. Ellington (I) (Rep)_Provisional Votes,James G. Ellington (I) (Rep)_Choice Total,Total,
0,Upson,Redbone,8219,319,1610,336,1,2266,2266,
1,Upson,Town,8239,110,774,201,2,1087,1087,
