index,County,Precinct,Registered Voters,James M. George (I) (Rep)_Election Day Votes,James M. George (I) (Rep)_Advanced Voting Votes,James M. George (I) (Rep)_Absentee by Mail Votes,James M. George (I) (Rep)_Provisional Votes,James M. George (I) (Rep)_Choice Total,"Jerry Meadows, Jr. (Dem)_Election Day Votes","Jerry Meadows, Jr. (Dem)_Advanced Voting Votes","Jerry Meadows, Jr. (Dem)_Absentee by Mail Votes","Jerry Meadows, Jr. (Dem)_Provisional Votes","Jerry Meadows, Jr. (Dem)_Choice Total",Total,
0,Upson,Yatesville,1347,349,356,74,0,779,61,70,102,0,233,1012,
1,Upson,Salem,370,17,27,9,0,53,65,71,116,0,252,305,
2,Upson,Redbone,8219,598,3461,670,2,4731,169,597,419,0,1185,5916,
3,Upson,Town,8239,384,2201,522,2,3109,357,1176,785,0,2318,5427,
