index,County,Precinct,Registered Voters,Dan Kilgore (I) (Rep)_Election Day Votes,Dan Kilgore (I) (Rep)_Advanced Voting Votes,Dan Kilgore (I) (Rep)_Absentee by Mail Votes,Dan Kilgore (I) (Rep)_Provisional Votes,Dan Kilgore (I) (Rep)_Choice Total,Total,
0,Upson,Yatesville,1347,379,399,137,0,915,915,
1,Upson,Salem,370,54,67,72,0,193,193,
2,Upson,Redbone,8219,711,3800,889,2,5402,5402,
3,Upson,Town,8239,633,2928,1009,2,4572,4572,
