index,County,Precinct,Registered Voters,Norman Allen (I) (Rep)_Election Day Votes,Norman Allen (I) (Rep)_Advanced Voting Votes,Norman Allen (I) (Rep)_Absentee by Mail Votes,Norman Allen (I) (Rep)_Provisional Votes,Norman Allen (I) (Rep)_Choice Total,Dehundra Caldwell (Dem)_Election Day Votes,Dehundra Caldwell (Dem)_Advanced Voting Votes,Dehundra Caldwell (Dem)_Absentee by Mail Votes,Dehundra Caldwell (Dem)_Provisional Votes,Dehundra Caldwell (Dem)_Choice Total,Total,
0,Upson,Yatesville,1347,345,361,71,0,777,62,67,96,0,225,1002,
1,Upson,Salem,370,16,27,14,0,57,63,65,103,0,231,288,
2,Upson,Redbone,8219,599,3469,670,2,4740,163,582,406,0,1151,5891,
3,Upson,Town,8239,395,2225,537,2,3159,344,1114,765,0,2223,5382,
