index,County,Precinct,Registered Voters,Christopher Biggs (Rep)_Election Day Votes,Christopher Biggs (Rep)_Advanced Voting Votes,Christopher Biggs (Rep)_Absentee by Mail Votes,Christopher Biggs (Rep)_Provisional Votes,Christopher Biggs (Rep)_Choice Total,Lorenzo Wilder (I) (Dem)_Election Day Votes,Lorenzo Wilder (I) (Dem)_Advanced Voting Votes,Lorenzo Wilder (I) (Dem)_Absentee by Mail Votes,Lorenzo Wilder (I) (Dem)_Provisional Votes,Lorenzo Wilder (I) (Dem)_Choice Total,Total,
0,Upson,Yatesville,1347,61,106,19,0,186,25,46,70,0,141,327,
1,Upson,Salem,370,16,27,24,0,67,67,71,104,0,242,309,
2,Upson,Town,8239,148,645,213,0,1006,172,582,423,0,1177,2183,
