index,County,Precinct,Registered Voters,Sidney L. Beach (I)_Election Day Votes,Sidney L. Beach (I)_Advanced Voting Votes,Sidney L. Beach (I)_Absentee by Mail Votes,Sidney L. Beach (I)_Provisional Votes,Sidney L. Beach (I)_Choice Total,Total,
0,Upson,Yatesville,1347,365,382,136,0,883,883,
1,Upson,Salem,370,52,73,76,0,201,201,
2,Upson,Redbone,8219,696,3566,877,1,5140,5140,
3,Upson,Town,8239,621,2802,1043,2,4468,4468,
