index,County,Precinct,Registered Voters,Teresa S. Harper (I) (Rep)_Election Day Votes,Teresa S. Harper (I) (Rep)_Advanced Voting Votes,Teresa S. Harper (I) (Rep)_Absentee by Mail Votes,Teresa S. Harper (I) (Rep)_Provisional Votes,Teresa S. Harper (I) (Rep)_Choice Total,Total,
0,Upson,Yatesville,1347,386,393,137,0,916,916,
1,Upson,Salem,370,51,70,66,0,187,187,
2,Upson,Redbone,8219,709,3819,880,2,5410,5410,
3,Upson,Town,8239,629,2907,991,2,4529,4529,
