index,County,Precinct,Registered Voters,Beth Camp (Rep)_Election Day Votes,Beth Camp (Rep)_Advanced Voting Votes,Beth Camp (Rep)_Absentee by Mail Votes,Beth Camp (Rep)_Provisional Votes,Beth Camp (Rep)_Choice Total,Chris Benton (Dem)_Election Day Votes,Chris Benton (Dem)_Advanced Voting Votes,Chris Benton (Dem)_Absentee by Mail Votes,Chris Benton (Dem)_Provisional Votes,Chris Benton (Dem)_Choice Total,Total,
0,Upson,Yatesville,1347,349,363,69,0,781,63,66,108,0,237,1018,
1,Upson,Salem,370,18,23,13,0,54,63,73,113,0,249,303,
2,Upson,Redbone,8219,590,3446,634,2,4672,170,585,448,0,1203,5875,
3,Upson,Town,8239,399,2186,503,2,3090,336,1146,793,0,2275,5365,
