index,County,Precinct,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
0,Upson,Yatesville,1347,371,386,122,0,879,879,
1,Upson,Salem,370,49,58,61,0,168,168,
2,Upson,Redbone,8219,692,3732,827,2,5253,5253,
3,Upson,Town,8239,608,2769,878,2,4257,4257,
