index,County,Precinct,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,
0,Gwinnett,ROCKBRIDGE A,3987,314,1373,692,0,2379,2379,
1,Gwinnett,CATES C,2903,259,911,476,1,1647,1647,
2,Gwinnett,BAYCREEK B,5969,542,1998,904,6,3450,3450,
3,Gwinnett,ROCKBRIDGE B,4177,359,1285,657,1,2302,2302,
4,Gwinnett,GARNERS B,3178,232,972,557,2,1763,1763,
5,Gwinnett,GARNERS C,2030,181,569,299,0,1049,1049,
6,Gwinnett,BERKSHIRE G,2419,194,731,374,0,1299,1299,
7,Gwinnett,CATES H,3924,338,1100,552,1,1991,1991,
8,Gwinnett,GARNERS D,3490,283,1027,663,0,1973,1973,
9,Gwinnett,ROCKBRIDGE C,5125,357,1847,1038,4,3246,3246,
10,Gwinnett,ROCKBRIDGE D,3642,237,1289,672,5,2203,2203,
11,Gwinnett,CATES L,4185,235,726,404,3,1368,1368,
12,Gwinnett,ROCKBRIDGE E,4638,467,1289,778,3,2537,2537,
13,Gwinnett,ROCKBRIDGE F,5795,346,2296,902,4,3548,3548,
14,Gwinnett,BAYCREEK E,3265,312,902,477,4,1695,1695,
15,Gwinnett,GARNERS F,1796,147,489,308,2,946,946,
16,Gwinnett,ROCKBRIDGE G,5799,453,1999,983,11,3446,3446,
17,Gwinnett,BAYCREEK F,4608,391,1546,735,5,2677,2677,
18,Gwinnett,BAYCREEK G,6241,456,2239,1001,0,3696,3696,
19,Gwinnett,BAYCREEK J,4567,409,1486,713,3,2611,2611,
