index,County,Precinct,Registered Voters,Chuck Efstration (I) (Rep)_Election Day Votes,Chuck Efstration (I) (Rep)_Advanced Voting Votes,Chuck Efstration (I) (Rep)_Absentee by Mail Votes,Chuck Efstration (I) (Rep)_Provisional Votes,Chuck Efstration (I) (Rep)_Choice Total,Nakita Hemingway (Dem)_Election Day Votes,Nakita Hemingway (Dem)_Advanced Voting Votes,Nakita Hemingway (Dem)_Absentee by Mail Votes,Nakita Hemingway (Dem)_Provisional Votes,Nakita Hemingway (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,150,558,210,0,918,187,898,444,2,1531,2449,
1,Gwinnett,DACULA,4777,241,928,280,0,1449,246,1102,573,0,1921,3370,
2,Gwinnett,DUNCANS A,4729,366,1579,510,1,2456,116,707,451,1,1275,3731,
3,Gwinnett,DUNCANS C,3040,336,1038,307,0,1681,86,411,273,0,770,2451,
4,Gwinnett,HOG MOUNTAIN B,4583,118,276,112,0,506,75,319,213,0,607,1113,
5,Gwinnett,ROCKYCREEK A,5939,488,1524,445,0,2457,266,1096,603,2,1967,4424,
6,Gwinnett,LAWRENCEVILLE D,5012,33,48,31,0,112,58,134,57,0,249,361,
7,Gwinnett,DUNCANS B,5387,572,1680,519,2,2773,212,748,457,1,1418,4191,
8,Gwinnett,HARBINS B,4845,338,1282,322,1,1943,195,861,427,2,1485,3428,
9,Gwinnett,LAWRENCEVILLE M,7255,232,575,286,1,1094,539,2045,1038,1,3623,4717,
10,Gwinnett,ROCKYCREEK C,4806,338,1220,379,0,1937,237,941,521,2,1701,3638,
