index,County,Precinct,Registered Voters,Michael McConnell (Rep)_Election Day Votes,Michael McConnell (Rep)_Advanced Voting Votes,Michael McConnell (Rep)_Absentee by Mail Votes,Michael McConnell (Rep)_Provisional Votes,Michael McConnell (Rep)_Choice Total,Shelly Hutchinson (I) (Dem)_Election Day Votes,Shelly Hutchinson (I) (Dem)_Advanced Voting Votes,Shelly Hutchinson (I) (Dem)_Absentee by Mail Votes,Shelly Hutchinson (I) (Dem)_Provisional Votes,Shelly Hutchinson (I) (Dem)_Choice Total,Total,
0,Gwinnett,MARTINS C,2549,168,312,186,0,666,230,508,349,4,1091,1757,
1,Gwinnett,CATES G,2875,204,672,368,0,1244,121,528,424,0,1073,2317,
2,Gwinnett,CATES I,3537,260,585,293,1,1139,192,825,564,0,1581,2720,
3,Gwinnett,CATES K,2810,253,495,247,3,998,151,566,375,0,1092,2090,
4,Gwinnett,LAWRENCEVILLE G,3046,115,300,127,0,542,243,758,430,1,1432,1974,
5,Gwinnett,CATES M,3988,266,886,450,0,1602,173,795,595,1,1564,3166,
6,Gwinnett,MARTINS H,5037,240,524,348,3,1115,386,1053,694,3,2136,3251,
7,Gwinnett,LAWRENCEVILLE J,2249,146,216,93,0,455,188,555,305,1,1049,1504,
8,Gwinnett,MARTINS K,5352,216,393,242,0,851,476,1351,801,0,2628,3479,
9,Gwinnett,LAWRENCEVILLE L,4802,223,722,335,0,1280,279,1148,710,1,2138,3418,
10,Gwinnett,LAWRENCEVILLE N,2573,177,293,151,1,622,200,460,282,4,946,1568,
