index,County,Precinct,Registered Voters,Marvin Lim (Dem)_Election Day Votes,Marvin Lim (Dem)_Advanced Voting Votes,Marvin Lim (Dem)_Absentee by Mail Votes,Marvin Lim (Dem)_Provisional Votes,Marvin Lim (Dem)_Choice Total,Total,
0,Gwinnett,PINCKNEYVILLE B,3485,353,842,436,1,1632,1632,
1,Gwinnett,PINCKNEYVILLE D,2264,306,490,246,1,1043,1043,
2,Gwinnett,PINCKNEYVILLE J,2613,315,690,302,2,1309,1309,
3,Gwinnett,PINCKNEYVILLE K,3754,451,910,493,2,1856,1856,
4,Gwinnett,BERKSHIRE H,1987,210,412,312,2,936,936,
5,Gwinnett,PINCKNEYVILLE O,3359,346,891,408,2,1647,1647,
6,Gwinnett,PINCKNEYVILLE V,1706,165,409,244,1,819,819,
7,Gwinnett,PINCKNEYVILLE Y,3272,193,334,173,1,701,701,
