County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Gwinnett,HARBINS A,7182,515,2187,929,6,3637,176,809,367,3,1355,4992,
Gwinnett,ROCKBRIDGE A,3987,266,1174,590,1,2031,94,353,190,0,637,2668,
Gwinnett,DACULA,4777,360,1418,622,1,2401,117,533,200,1,851,3252,
Gwinnett,SUWANEE A,1737,148,498,252,1,899,60,146,75,0,281,1180,
Gwinnett,BAYCREEK A,2720,274,749,495,0,1518,93,279,136,0,508,2026,
Gwinnett,GOODWINS A,3921,414,996,585,1,1996,132,323,181,1,637,2633,
Gwinnett,DULUTH A,5042,330,1438,1041,1,2810,112,441,286,1,840,3650,
Gwinnett,DUNCANS A,4729,325,1568,699,1,2593,141,619,239,1,1000,3593,
Gwinnett,PUCKETTS A,5692,363,1951,808,1,3123,97,754,270,0,1121,4244,
Gwinnett,CATES A,2387,216,604,402,2,1224,66,199,160,0,425,1649,
Gwinnett,BERKSHIRE A,2555,339,480,307,2,1128,82,161,110,0,353,1481,
Gwinnett,BERKSHIRE B,5338,312,1469,870,6,2657,95,381,259,1,736,3393,
Gwinnett,DUNCANS C,3040,277,1016,420,1,1714,128,373,137,0,638,2352,
Gwinnett,GARNERS A,3520,258,1082,670,1,2011,76,380,183,1,640,2651,
Gwinnett,LAWRENCEVILLE A,3635,297,805,436,3,1541,104,289,175,0,568,2109,
Gwinnett,LAWRENCEVILLE B,5097,257,1541,698,2,2498,86,506,266,1,859,3357,
Gwinnett,MARTINS A,3303,352,774,377,6,1509,94,198,129,0,421,1930,
Gwinnett,MARTINS B,3001,278,735,390,1,1404,114,226,119,0,459,1863,
Gwinnett,MARTINS C,2549,299,599,397,4,1299,95,201,117,1,414,1713,
Gwinnett,PINCKNEYVILLE A,2791,325,597,322,6,1250,108,134,84,0,326,1576,
Gwinnett,PINCKNEYVILLE B,3485,315,766,379,6,1466,89,194,116,0,399,1865,
Gwinnett,PINCKNEYVILLE C,2082,253,485,481,5,1224,108,122,128,0,358,1582,
Gwinnett,PINCKNEYVILLE D,2264,272,446,219,4,941,73,126,71,1,271,1212,
Gwinnett,SUGAR HILL A,4654,488,1060,536,3,2087,158,401,229,1,789,2876,
Gwinnett,SUGAR HILL B,5596,552,1540,724,8,2824,220,512,240,5,977,3801,
Gwinnett,HOG MOUNTAIN A,5011,452,1347,734,2,2535,171,436,174,0,781,3316,
Gwinnett,HOG MOUNTAIN B,4583,382,1323,775,3,2483,175,447,257,1,880,3363,
Gwinnett,ROCKYCREEK A,5939,527,1855,712,3,3097,188,684,279,0,1151,4248,
Gwinnett,CATES B,1587,177,409,265,2,853,46,142,92,0,280,1133,
Gwinnett,CATES C,2903,252,796,446,1,1495,97,275,159,3,534,2029,
Gwinnett,HOG MOUNTAIN D,3179,307,824,492,2,1625,116,308,130,0,554,2179,
Gwinnett,BERKSHIRE D,2945,208,843,639,3,1693,53,228,154,1,436,2129,
Gwinnett,BERKSHIRE E,1997,174,600,356,1,1131,58,196,125,0,379,1510,
Gwinnett,BERKSHIRE F,2254,267,448,323,1,1039,80,123,116,0,319,1358,
Gwinnett,CATES D,3755,310,1074,681,2,2067,100,355,194,0,649,2716,
Gwinnett,CATES E,2942,276,847,593,1,1717,77,282,187,1,547,2264,
Gwinnett,PINCKNEYVILLE E,2184,268,470,258,7,1003,72,117,61,2,252,1255,
Gwinnett,PINCKNEYVILLE F,2546,271,539,307,2,1119,75,136,90,1,302,1421,
Gwinnett,DUNCANS D,7153,677,2197,1015,2,3891,204,762,331,0,1297,5188,
Gwinnett,PINCKNEYVILLE H,4536,425,1221,965,3,2614,131,360,229,1,721,3335,
Gwinnett,BAYCREEK B,5969,520,1756,755,9,3040,163,558,266,1,988,4028,
Gwinnett,LAWRENCEVILLE C,3037,323,796,440,1,1560,101,276,145,0,522,2082,
Gwinnett,MARTINS D,2402,284,443,273,2,1002,70,116,87,1,274,1276,
Gwinnett,ROCKBRIDGE B,4177,346,1134,556,2,2038,87,325,184,0,596,2634,
