index,County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,367,1549,513,0,2429,330,1538,859,0,2727,5156,
1,Gwinnett,DACULA,4777,250,938,252,0,1440,236,1079,602,0,1917,3357,
2,Gwinnett,DUNCANS A,4729,359,1558,495,2,2414,120,716,468,0,1304,3718,
3,Gwinnett,DUNCANS C,3040,333,1025,306,0,1664,87,424,276,0,787,2451,
4,Gwinnett,ROCKYCREEK A,5939,467,1489,415,0,2371,273,1118,634,2,2027,4398,
5,Gwinnett,DUNCANS D,7153,613,2105,729,1,3448,284,958,696,0,1938,5386,
6,Gwinnett,BAYCREEK C,6499,325,1043,377,1,1746,356,1750,889,0,2995,4741,
7,Gwinnett,DUNCANS B,5387,571,1656,507,1,2735,214,755,477,2,1448,4183,
8,Gwinnett,HARBINS B,4845,338,1269,324,0,1931,194,861,430,2,1487,3418,
9,Gwinnett,HARBINS C,2850,380,616,186,2,1184,166,601,261,1,1029,2213,
10,Gwinnett,ROCKYCREEK C,4806,337,1212,372,0,1921,231,937,532,2,1702,3623,
