index,County,Precinct,Registered Voters,Dewey L. McClain (I) (Dem)_Election Day Votes,Dewey L. McClain (I) (Dem)_Advanced Voting Votes,Dewey L. McClain (I) (Dem)_Absentee by Mail Votes,Dewey L. McClain (I) (Dem)_Provisional Votes,Dewey L. McClain (I) (Dem)_Choice Total,Total,
0,Gwinnett,MARTINS A,3303,254,580,325,3,1162,1162,
1,Gwinnett,BERKSHIRE F,2254,273,453,371,1,1098,1098,
2,Gwinnett,MARTINS D,2402,310,502,330,0,1142,1142,
3,Gwinnett,MARTINS E,6193,693,1536,718,1,2948,2948,
4,Gwinnett,PINCKNEYVILLE Q,1915,323,460,244,1,1028,1028,
5,Gwinnett,MARTINS F,2570,306,544,390,1,1241,1241,
6,Gwinnett,BERKSHIRE L,3265,425,794,504,0,1723,1723,
7,Gwinnett,MARTINS I,4078,451,944,623,3,2021,2021,
8,Gwinnett,MARTINS J,3923,543,1037,554,1,2135,2135,
