index,County,Precinct,Registered Voters,Richard Steele (I) (Rep)_Election Day Votes,Richard Steele (I) (Rep)_Advanced Voting Votes,Richard Steele (I) (Rep)_Absentee by Mail Votes,Richard Steele (I) (Rep)_Provisional Votes,Richard Steele (I) (Rep)_Choice Total,Tiffany Porter (Dem)_Election Day Votes,Tiffany Porter (Dem)_Advanced Voting Votes,Tiffany Porter (Dem)_Absentee by Mail Votes,Tiffany Porter (Dem)_Provisional Votes,Tiffany Porter (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,388,1589,552,4,2533,317,1508,818,3,2646,5179,
1,Gwinnett,ROCKBRIDGE A,3987,115,296,181,0,592,250,1265,626,1,2142,2734,
2,Gwinnett,DACULA,4777,256,963,277,1,1497,230,1069,573,1,1873,3370,
3,Gwinnett,SUWANEE A,1737,126,320,159,0,605,91,352,176,1,620,1225,
4,Gwinnett,BAYCREEK A,2720,256,564,339,0,1159,123,485,335,0,943,2102,
5,Gwinnett,GOODWINS A,3921,302,584,261,2,1149,246,766,513,0,1525,2674,
6,Gwinnett,DULUTH A,5042,258,959,516,2,1735,191,960,851,0,2002,3737,
7,Gwinnett,DUNCANS A,4729,373,1587,519,1,2480,105,687,440,1,1233,3713,
8,Gwinnett,PUCKETTS A,5692,327,2037,689,1,3054,142,764,450,0,1356,4410,
9,Gwinnett,CATES A,2387,182,489,333,0,1004,104,337,265,1,707,1711,
10,Gwinnett,BERKSHIRE A,2555,190,247,139,0,576,244,415,305,2,966,1542,
11,Gwinnett,BERKSHIRE B,5338,131,573,384,2,1090,284,1344,794,5,2427,3517,
12,Gwinnett,DUNCANS C,3040,343,1066,319,1,1729,77,385,259,0,721,2450,
13,Gwinnett,GARNERS A,3520,218,842,473,1,1534,118,650,405,2,1175,2709,
14,Gwinnett,LAWRENCEVILLE A,3635,184,523,303,0,1010,221,596,351,4,1172,2182,
15,Gwinnett,LAWRENCEVILLE B,5097,150,665,325,3,1143,207,1438,672,0,2317,3460,
16,Gwinnett,MARTINS A,3303,144,250,136,4,534,311,744,395,2,1452,1986,
17,Gwinnett,MARTINS B,3001,129,362,195,0,686,273,620,341,2,1236,1922,
18,Gwinnett,MARTINS C,2549,175,336,226,1,738,223,485,307,5,1020,1758,
19,Gwinnett,PINCKNEYVILLE A,2791,116,163,93,2,374,324,585,327,5,1241,1615,
20,Gwinnett,PINCKNEYVILLE B,3485,125,276,159,2,562,285,722,355,5,1367,1929,
21,Gwinnett,PINCKNEYVILLE C,2082,265,297,307,1,870,107,324,315,4,750,1620,
22,Gwinnett,PINCKNEYVILLE D,2264,78,145,94,1,318,265,432,201,4,902,1220,
23,Gwinnett,SUGAR HILL A,4654,414,895,380,3,1692,241,616,414,2,1273,2965,
24,Gwinnett,SUGAR HILL B,5596,526,1234,449,11,2220,269,882,549,4,1704,3924,
25,Gwinnett,HOG MOUNTAIN A,5011,328,778,348,1,1455,310,1036,603,1,1950,3405,
26,Gwinnett,HOG MOUNTAIN B,4583,399,1095,493,2,1989,168,727,573,2,1470,3459,
27,Gwinnett,ROCKYCREEK A,5939,484,1542,450,0,2476,261,1084,595,3,1943,4419,
28,Gwinnett,CATES B,1587,152,342,206,2,702,77,223,162,0,462,1164,
29,Gwinnett,CATES C,2903,177,318,213,1,709,180,767,398,2,1347,2056,
30,Gwinnett,HOG MOUNTAIN D,3179,284,702,289,1,1276,145,463,355,0,963,2239,
31,Gwinnett,BERKSHIRE D,2945,156,530,351,1,1038,107,570,461,3,1141,2179,
32,Gwinnett,BERKSHIRE E,1997,172,478,228,0,878,63,331,260,1,655,1533,
33,Gwinnett,BERKSHIRE F,2254,182,229,181,0,592,177,369,284,1,831,1423,
34,Gwinnett,CATES D,3755,249,660,366,0,1275,170,794,529,1,1494,2769,
35,Gwinnett,CATES E,2942,231,602,358,1,1192,136,559,428,1,1124,2316,
36,Gwinnett,PINCKNEYVILLE E,2184,125,112,78,3,318,218,480,256,6,960,1278,
37,Gwinnett,PINCKNEYVILLE F,2546,122,242,141,1,506,226,457,300,2,985,1491,
38,Gwinnett,DUNCANS D,7153,642,2168,802,3,3615,260,891,625,0,1776,5391,
39,Gwinnett,PINCKNEYVILLE H,4536,364,782,541,1,1688,208,832,696,2,1738,3426,
40,Gwinnett,BAYCREEK B,5969,273,677,308,3,1261,420,1700,763,7,2890,4151,
41,Gwinnett,LAWRENCEVILLE C,3037,308,626,298,0,1232,122,476,310,1,909,2141,
42,Gwinnett,MARTINS D,2402,94,130,111,2,337,263,451,276,1,991,1328,
43,Gwinnett,ROCKBRIDGE B,4177,149,354,195,0,698,291,1138,576,1,2006,2704,
44,Gwinnett,GARNERS B,3178,127,414,243,5,789,177,840,449,1,1467,2256,
45,Gwinnett,CATES F,1787,218,330,257,0,805,100,284,201,2,587,1392,
46,Gwinnett,CATES G,2875,217,711,429,0,1357,105,495,367,0,967,2324,
47,Gwinnett,DULUTH B,3551,276,575,396,3,1250,172,494,509,1,1176,2426,
48,Gwinnett,GARNERS C,2030,143,308,165,0,616,116,437,240,2,795,1411,
49,Gwinnett,PINCKNEYVILLE I,2635,113,219,138,0,470,243,546,297,2,1088,1558,
50,Gwinnett,PINCKNEYVILLE J,2613,80,136,71,0,287,265,629,264,2,1160,1447,
51,Gwinnett,BERKSHIRE G,2419,176,548,274,0,998,100,505,269,0,874,1872,
52,Gwinnett,CATES H,3924,116,418,203,0,737,303,926,483,2,1714,2451,
53,Gwinnett,SUGAR HILL C,5085,624,1290,500,1,2415,205,728,471,0,1404,3819,
54,Gwinnett,SUGAR HILL D,4624,325,1216,359,5,1905,186,716,423,3,1328,3233,
55,Gwinnett,DULUTH C,2229,205,332,224,2,763,137,364,304,2,807,1570,
56,Gwinnett,DULUTH D,5077,242,693,351,9,1295,297,1007,611,10,1925,3220,
57,Gwinnett,PINCKNEYVILLE K,3754,151,224,138,2,515,363,810,436,10,1619,2134,
58,Gwinnett,PINCKNEYVILLE N,3819,147,222,85,0,454,436,923,468,6,1833,2287,
59,Gwinnett,LAWRENCEVILLE D,5012,167,281,213,3,664,428,1075,511,11,2025,2689,
60,Gwinnett,LAWRENCEVILLE E,2355,165,411,296,1,873,147,371,265,2,785,1658,
61,Gwinnett,PINCKNEYVILLE L,2330,316,472,540,1,1329,83,234,335,0,652,1981,
62,Gwinnett,PINCKNEYVILLE M,2673,359,689,499,0,1547,69,267,316,0,652,2199,
63,Gwinnett,GARNERS D,3490,95,287,232,0,614,236,909,567,0,1712,2326,
64,Gwinnett,BERKSHIRE H,1987,107,185,160,3,455,153,339,231,2,725,1180,
65,Gwinnett,PINCKNEYVILLE O,3359,113,273,134,1,521,284,768,324,5,1381,1902,
66,Gwinnett,PUCKETTS E,5660,302,1110,463,1,1876,233,1089,624,3,1949,3825,
67,Gwinnett,CATES I,3537,279,625,357,1,1262,172,791,499,1,1463,2725,
68,Gwinnett,CATES J,3478,256,472,329,3,1060,176,788,493,1,1458,2518,
69,Gwinnett,GOODWINS B,3960,334,927,407,1,1669,183,600,457,0,1240,2909,
70,Gwinnett,LAWRENCEVILLE F,4061,184,367,191,1,743,286,1130,572,2,1990,2733,
71,Gwinnett,MARTINS E,6193,157,237,114,2,510,590,1411,672,5,2678,3188,
72,Gwinnett,PINCKNEYVILLE P,2185,183,286,271,0,740,172,363,330,2,867,1607,
73,Gwinnett,PINCKNEYVILLE Q,1915,72,72,42,0,186,275,424,218,3,920,1106,
74,Gwinnett,ROCKBRIDGE C,5125,138,365,221,2,726,289,1713,954,5,2961,3687,
75,Gwinnett,ROCKBRIDGE D,3642,78,403,218,1,700,195,1137,605,6,1943,2643,
76,Gwinnett,GOODWINS C,5804,325,637,386,0,1348,387,1200,834,1,2422,3770,
77,Gwinnett,BAYCREEK K,3824,174,719,395,0,1288,146,923,481,1,1551,2839,
78,Gwinnett,CATES K,2810,266,536,292,3,1097,140,522,326,0,988,2085,
79,Gwinnett,BAYCREEK C,6499,333,1103,418,3,1857,350,1706,844,0,2900,4757,
80,Gwinnett,CATES L,4185,231,626,363,0,1220,256,933,521,4,1714,2934,
81,Gwinnett,DULUTH E,4814,228,554,288,1,1071,397,1126,695,7,2225,3296,
