index,County,Precinct,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,
0,Gwinnett,PINCKNEYVILLE C,2082,253,277,247,1,778,119,337,375,3,834,1612,
1,Gwinnett,PINCKNEYVILLE E,2184,103,102,60,1,266,238,487,276,3,1004,1270,
2,Gwinnett,PINCKNEYVILLE N,3819,123,197,60,0,380,454,935,496,1,1886,2266,
3,Gwinnett,PINCKNEYVILLE L,2330,291,433,437,0,1161,110,277,445,0,832,1993,
4,Gwinnett,PINCKNEYVILLE P,2185,170,257,231,0,658,184,390,365,2,941,1599,
5,Gwinnett,PINCKNEYVILLE U,2090,187,209,124,0,520,230,400,304,5,939,1459,
6,Gwinnett,PINCKNEYVILLE Z,1898,288,352,275,0,915,100,220,357,0,677,1592,
7,Gwinnett,PINCKNEYVILLE A1,2694,301,561,423,0,1285,100,373,501,0,974,2259,
