index,County,Precinct,Registered Voters,"Pedro """"Pete"""" Marin (I) (Dem)_Election Day Votes","Pedro """"Pete"""" Marin (I) (Dem)_Advanced Voting Votes","Pedro """"Pete"""" Marin (I) (Dem)_Absentee by Mail Votes","Pedro """"Pete"""" Marin (I) (Dem)_Provisional Votes","Pedro """"Pete"""" Marin (I) (Dem)_Choice Total",Total,
0,Gwinnett,PINCKNEYVILLE A,2791,392,652,372,5,1421,1421,
1,Gwinnett,DULUTH B,3551,326,767,681,1,1775,1775,
2,Gwinnett,PINCKNEYVILLE I,2635,310,647,360,2,1319,1319,
3,Gwinnett,DULUTH D,5077,429,1329,814,10,2582,2582,
4,Gwinnett,PINCKNEYVILLE S,3374,420,733,529,2,1684,1684,
5,Gwinnett,DULUTH F,6161,395,910,531,1,1837,1837,
6,Gwinnett,PINCKNEYVILLE T,3201,342,724,522,2,1590,1590,
7,Gwinnett,PINCKNEYVILLE W,4253,240,476,312,2,1030,1030,
8,Gwinnett,DULUTH I,5105,64,198,274,1,537,537,
9,Gwinnett,DULUTH K,2786,265,628,346,1,1240,1240,
