index,County,Precinct,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,
0,Gwinnett,ROCKBRIDGE B,4177,373,1293,664,1,2331,2331,
1,Gwinnett,GARNERS B,3178,234,988,552,2,1776,1776,
2,Gwinnett,GARNERS C,2030,176,572,307,0,1055,1055,
3,Gwinnett,GARNERS D,3490,132,457,344,0,933,933,
4,Gwinnett,CATES J,3478,133,472,290,0,895,895,
5,Gwinnett,ROCKBRIDGE C,5125,18,165,94,0,277,277,
6,Gwinnett,ROCKBRIDGE E,4638,471,1322,789,1,2583,2583,
7,Gwinnett,GARNERS F,1796,148,489,315,2,954,954,
