index,County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,376,1568,530,4,2478,327,1521,839,3,2690,5168,
1,Gwinnett,ROCKBRIDGE A,3987,109,289,192,0,590,254,1269,617,1,2141,2731,
2,Gwinnett,DACULA,4777,237,938,269,1,1445,247,1083,585,1,1916,3361,
3,Gwinnett,SUWANEE A,1737,118,320,152,0,590,98,358,183,1,640,1230,
4,Gwinnett,BAYCREEK A,2720,252,560,333,0,1145,127,487,342,0,956,2101,
5,Gwinnett,GOODWINS A,3921,296,582,257,1,1136,251,764,518,1,1534,2670,
6,Gwinnett,DULUTH A,5042,243,925,490,2,1660,206,986,884,0,2076,3736,
7,Gwinnett,DUNCANS A,4729,371,1581,518,2,2472,111,696,449,0,1256,3728,
8,Gwinnett,PUCKETTS A,5692,324,2012,693,1,3030,140,785,458,0,1383,4413,
9,Gwinnett,CATES A,2387,188,482,317,0,987,100,344,277,1,722,1709,
10,Gwinnett,BERKSHIRE A,2555,184,240,129,0,553,248,415,317,2,982,1535,
11,Gwinnett,BERKSHIRE B,5338,128,558,378,3,1067,283,1347,812,5,2447,3514,
12,Gwinnett,DUNCANS C,3040,342,1048,329,1,1720,82,399,249,0,730,2450,
13,Gwinnett,GARNERS A,3520,210,816,479,1,1506,127,676,412,2,1217,2723,
14,Gwinnett,LAWRENCEVILLE A,3635,169,511,294,1,975,234,600,366,3,1203,2178,
15,Gwinnett,LAWRENCEVILLE B,5097,138,652,320,2,1112,214,1446,677,1,2338,3450,
16,Gwinnett,MARTINS A,3303,143,237,130,2,512,310,747,400,4,1461,1973,
17,Gwinnett,MARTINS B,3001,124,355,196,0,675,269,623,345,2,1239,1914,
18,Gwinnett,MARTINS C,2549,172,327,218,1,718,223,494,319,5,1041,1759,
19,Gwinnett,PINCKNEYVILLE A,2791,124,156,84,2,366,316,591,335,5,1247,1613,
20,Gwinnett,PINCKNEYVILLE B,3485,121,248,144,2,515,287,731,371,5,1394,1909,
21,Gwinnett,PINCKNEYVILLE C,2082,263,296,299,0,858,110,327,322,4,763,1621,
22,Gwinnett,PINCKNEYVILLE D,2264,87,146,86,2,321,251,429,211,3,894,1215,
23,Gwinnett,SUGAR HILL A,4654,413,866,352,4,1635,238,644,453,1,1336,2971,
24,Gwinnett,SUGAR HILL B,5596,516,1190,435,12,2153,277,908,568,4,1757,3910,
25,Gwinnett,HOG MOUNTAIN A,5011,316,761,342,1,1420,317,1053,610,1,1981,3401,
26,Gwinnett,HOG MOUNTAIN B,4583,389,1084,482,3,1958,175,734,593,2,1504,3462,
27,Gwinnett,ROCKYCREEK A,5939,480,1507,447,0,2434,266,1101,602,3,1972,4406,
28,Gwinnett,CATES B,1587,146,341,203,1,691,83,226,172,1,482,1173,
29,Gwinnett,CATES C,2903,177,307,211,1,696,177,768,404,2,1351,2047,
30,Gwinnett,HOG MOUNTAIN D,3179,283,688,276,1,1248,144,476,377,1,998,2246,
31,Gwinnett,BERKSHIRE D,2945,150,527,357,1,1035,112,575,464,3,1154,2189,
32,Gwinnett,BERKSHIRE E,1997,171,468,233,0,872,67,342,261,1,671,1543,
33,Gwinnett,BERKSHIRE F,2254,171,224,178,0,573,185,362,293,1,841,1414,
