index,County,Precinct,Registered Voters,"Hubert Owens, Jr. (Rep)_Election Day Votes","Hubert Owens, Jr. (Rep)_Advanced Voting Votes","Hubert Owens, Jr. (Rep)_Absentee by Mail Votes","Hubert Owens, Jr. (Rep)_Provisional Votes","Hubert Owens, Jr. (Rep)_Choice Total",Dar'Shun Kendrick (I) (Dem)_Election Day Votes,Dar'Shun Kendrick (I) (Dem)_Advanced Voting Votes,Dar'Shun Kendrick (I) (Dem)_Absentee by Mail Votes,Dar'Shun Kendrick (I) (Dem)_Provisional Votes,Dar'Shun Kendrick (I) (Dem)_Choice Total,Total,
0,Gwinnett,ROCKBRIDGE A,3987,101,276,155,0,532,262,1268,637,0,2167,2699,
1,Gwinnett,BAYCREEK B,5969,261,638,283,3,1185,426,1725,789,5,2945,4130,
2,Gwinnett,GARNERS D,3490,56,113,67,0,236,124,542,301,0,967,1203,
3,Gwinnett,ROCKBRIDGE C,5125,122,309,177,0,608,279,1576,903,3,2761,3369,
4,Gwinnett,ROCKBRIDGE D,3642,70,375,194,1,640,201,1159,618,4,1982,2622,
5,Gwinnett,ROCKBRIDGE F,5795,81,428,208,1,718,307,2150,859,4,3320,4038,
6,Gwinnett,ROCKBRIDGE G,5799,130,393,205,2,730,391,1847,928,10,3176,3906,
