index,County,Precinct,Registered Voters,Brett Harrell (I) (Rep)_Election Day Votes,Brett Harrell (I) (Rep)_Advanced Voting Votes,Brett Harrell (I) (Rep)_Absentee by Mail Votes,Brett Harrell (I) (Rep)_Provisional Votes,Brett Harrell (I) (Rep)_Choice Total,Rebecca Mitchell (Dem)_Election Day Votes,Rebecca Mitchell (Dem)_Advanced Voting Votes,Rebecca Mitchell (Dem)_Absentee by Mail Votes,Rebecca Mitchell (Dem)_Provisional Votes,Rebecca Mitchell (Dem)_Choice Total,Total,
0,Gwinnett,BAYCREEK A,2720,245,557,307,0,1109,134,495,370,0,999,2108,
1,Gwinnett,CATES A,2387,175,474,306,0,955,111,352,290,0,753,1708,
2,Gwinnett,LAWRENCEVILLE B,5097,136,626,290,0,1052,213,1482,714,0,2409,3461,
3,Gwinnett,CATES C,2903,168,303,208,0,679,188,774,402,0,1364,2043,
4,Gwinnett,CATES D,3755,237,635,338,0,1210,183,819,566,0,1568,2778,
5,Gwinnett,CATES E,2942,218,571,337,1,1127,147,588,454,0,1189,2316,
6,Gwinnett,CATES F,1787,213,316,237,0,766,105,294,216,1,616,1382,
7,Gwinnett,CATES H,3924,109,409,177,0,695,311,941,502,0,1754,2449,
8,Gwinnett,CATES J,3478,174,295,173,1,643,82,401,301,0,784,1427,
9,Gwinnett,CATES L,4185,226,606,331,0,1163,263,953,553,1,1770,2933,
10,Gwinnett,CATES N,2567,244,572,365,1,1182,123,379,288,0,790,1972,
11,Gwinnett,BAYCREEK E,3265,193,447,194,1,835,220,748,413,1,1382,2217,
12,Gwinnett,BAYCREEK J,4567,196,526,246,0,968,309,1284,639,1,2233,3201,
