index,County,Precinct,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,
95,Gwinnett,HOG MOUNTAIN C,4292,355,929,330,0,1614,189,696,501,2,1388,3002,
96,Gwinnett,ROCKYCREEK B,5061,372,1246,375,0,1993,224,950,500,2,1676,3669,
97,Gwinnett,DULUTH I,5105,299,955,654,0,1908,188,740,899,1,1828,3736,
98,Gwinnett,MARTINS K,5352,214,400,268,0,882,473,1354,792,2,2621,3503,
99,Gwinnett,SUWANEE H,3785,332,1163,493,0,1988,110,556,424,1,1091,3079,
100,Gwinnett,SUGAR HILL G,2814,294,791,270,0,1355,74,395,366,1,836,2191,
101,Gwinnett,SUWANEE F,3966,308,797,346,2,1453,165,737,548,1,1451,2904,
102,Gwinnett,LAWRENCEVILLE L,4802,223,735,343,0,1301,280,1140,710,2,2132,3433,
103,Gwinnett,LAWRENCEVILLE M,7255,233,560,279,2,1074,530,2036,1044,5,3615,4689,
104,Gwinnett,BAYCREEK G,6241,266,797,300,0,1363,324,1936,896,1,3157,4520,
105,Gwinnett,BAYCREEK H,6811,376,1360,530,1,2267,316,1738,899,3,2956,5223,
106,Gwinnett,BAYCREEK I,5899,263,787,367,6,1423,316,1503,766,5,2590,4013,
107,Gwinnett,GOODWINS I,2501,245,386,296,0,927,154,474,352,0,980,1907,
108,Gwinnett,DULUTH K,2786,77,163,86,1,327,228,550,314,1,1093,1420,
109,Gwinnett,LAWRENCEVILLE N,2573,169,295,153,0,617,206,461,286,6,959,1576,
110,Gwinnett,PUCKETTS D,3622,261,977,337,2,1577,132,553,398,0,1083,2660,
111,Gwinnett,SUWANEE G,3904,304,736,281,0,1321,209,822,555,1,1587,2908,
