index,County,Precinct,Registered Voters,Carole C. Boyce (I) (Rep)_Election Day Votes,Carole C. Boyce (I) (Rep)_Advanced Voting Votes,Carole C. Boyce (I) (Rep)_Absentee by Mail Votes,Carole C. Boyce (I) (Rep)_Provisional Votes,Carole C. Boyce (I) (Rep)_Choice Total,Karen Watkins (Dem)_Election Day Votes,Karen Watkins (Dem)_Advanced Voting Votes,Karen Watkins (Dem)_Absentee by Mail Votes,Karen Watkins (Dem)_Provisional Votes,Karen Watkins (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,378,1547,512,0,2437,327,1542,858,1,2728,5165,
1,Gwinnett,DACULA,4777,250,931,266,1,1448,235,1092,590,0,1917,3365,
2,Gwinnett,DUNCANS A,4729,361,1556,500,0,2417,116,710,456,0,1282,3699,
3,Gwinnett,LAWRENCEVILLE A,3635,179,510,297,0,986,229,608,358,2,1197,2183,
4,Gwinnett,LAWRENCEVILLE B,5097,150,630,307,0,1087,203,1459,694,0,2356,3443,
5,Gwinnett,HOG MOUNTAIN B,4583,387,1065,481,1,1934,180,750,591,0,1521,3455,
6,Gwinnett,ROCKYCREEK A,5939,480,1496,447,0,2423,262,1108,603,1,1974,4397,
7,Gwinnett,BAYCREEK B,5969,270,665,298,3,1236,423,1712,780,5,2920,4156,
8,Gwinnett,ROCKBRIDGE D,3642,67,393,201,1,662,204,1144,622,3,1973,2635,
9,Gwinnett,BAYCREEK K,3824,168,706,373,0,1247,150,937,511,1,1599,2846,
10,Gwinnett,BAYCREEK C,6499,324,1061,386,2,1773,355,1751,871,0,2977,4750,
11,Gwinnett,LAWRENCEVILLE G,3046,112,307,147,0,566,245,746,406,1,1398,1964,
12,Gwinnett,BAYCREEK D,4609,316,857,376,0,1549,196,1032,591,0,1819,3368,
13,Gwinnett,ROCKBRIDGE F,5795,83,455,228,1,767,308,2138,851,4,3301,4068,
14,Gwinnett,BAYCREEK E,3265,194,449,192,1,836,219,739,413,3,1374,2210,
15,Gwinnett,LAWRENCEVILLE J,2249,143,219,112,0,474,187,545,281,0,1013,1487,
16,Gwinnett,HARBINS B,4845,342,1265,326,0,1933,192,871,421,2,1486,3419,
17,Gwinnett,BAYCREEK F,4608,237,583,239,5,1064,285,1325,649,5,2264,3328,
18,Gwinnett,ROCKYCREEK B,5061,382,1251,404,2,2039,215,938,471,0,1624,3663,
19,Gwinnett,MARTINS K,5352,214,403,268,0,885,478,1352,778,0,2608,3493,
20,Gwinnett,LAWRENCEVILLE L,4802,224,757,371,1,1353,274,1116,672,0,2062,3415,
21,Gwinnett,BAYCREEK G,6241,266,794,319,0,1379,320,1931,882,1,3134,4513,
22,Gwinnett,BAYCREEK H,6811,367,1377,566,1,2311,325,1714,873,0,2912,5223,
23,Gwinnett,BAYCREEK I,5899,261,809,385,3,1458,315,1483,754,0,2552,4010,
24,Gwinnett,HARBINS C,2850,384,623,189,1,1197,166,587,264,1,1018,2215,
25,Gwinnett,ROCKYCREEK C,4806,340,1221,378,0,1939,229,930,522,3,1684,3623,
26,Gwinnett,LAWRENCEVILLE N,2573,172,301,161,0,634,204,459,273,6,942,1576,
27,Gwinnett,BAYCREEK J,4567,201,524,259,0,984,301,1279,619,2,2201,3185,
