index,County,Precinct,Registered Voters,Tom Kirby (I) (Rep)_Election Day Votes,Tom Kirby (I) (Rep)_Advanced Voting Votes,Tom Kirby (I) (Rep)_Absentee by Mail Votes,Tom Kirby (I) (Rep)_Provisional Votes,Tom Kirby (I) (Rep)_Choice Total,Total,
0,Gwinnett,BAYCREEK G,6241,443,1681,611,0,2735,2735,
1,Gwinnett,BAYCREEK H,6811,161,589,238,0,988,988,
