index,County,Precinct,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,374,1527,502,1,2404,328,1557,871,5,2761,5165,
1,Gwinnett,ROCKBRIDGE A,3987,108,271,169,0,548,257,1281,636,1,2175,2723,
2,Gwinnett,DACULA,4777,243,929,257,1,1430,241,1093,595,1,1930,3360,
3,Gwinnett,SUWANEE A,1737,117,299,138,0,554,97,369,196,1,663,1217,
4,Gwinnett,BAYCREEK A,2720,235,545,315,0,1095,142,500,357,0,999,2094,
5,Gwinnett,GOODWINS A,3921,284,556,238,1,1079,261,784,537,1,1583,2662,
6,Gwinnett,DULUTH A,5042,234,901,460,2,1597,207,1016,904,0,2127,3724,
7,Gwinnett,DUNCANS A,4729,351,1536,488,2,2377,124,729,471,0,1324,3701,
8,Gwinnett,PUCKETTS A,5692,318,1978,642,1,2939,150,816,493,0,1459,4398,
9,Gwinnett,CATES A,2387,174,471,306,1,952,110,352,293,1,756,1708,
10,Gwinnett,BERKSHIRE A,2555,179,222,127,0,528,255,434,316,2,1007,1535,
11,Gwinnett,BERKSHIRE B,5338,120,524,334,3,981,293,1373,849,4,2519,3500,
12,Gwinnett,DUNCANS C,3040,319,1013,296,1,1629,95,431,278,0,804,2433,
13,Gwinnett,GARNERS A,3520,205,798,423,1,1427,130,690,455,1,1276,2703,
14,Gwinnett,LAWRENCEVILLE A,3635,179,481,271,0,931,230,632,386,4,1252,2183,
15,Gwinnett,LAWRENCEVILLE B,5097,138,616,294,1,1049,210,1476,704,2,2392,3441,
16,Gwinnett,MARTINS A,3303,131,213,127,1,472,320,774,404,4,1502,1974,
17,Gwinnett,MARTINS B,3001,119,337,176,0,632,280,642,355,2,1279,1911,
18,Gwinnett,MARTINS C,2549,169,310,188,1,668,228,508,348,5,1089,1757,
19,Gwinnett,PINCKNEYVILLE A,2791,114,146,75,2,337,325,602,348,5,1280,1617,
20,Gwinnett,PINCKNEYVILLE B,3485,120,242,143,2,507,290,743,367,4,1404,1911,
21,Gwinnett,PINCKNEYVILLE C,2082,257,284,270,1,812,112,332,347,4,795,1607,
22,Gwinnett,PINCKNEYVILLE D,2264,78,135,77,1,291,260,442,220,4,926,1217,
23,Gwinnett,SUGAR HILL A,4654,398,864,342,2,1606,248,638,455,3,1344,2950,
