index,County,Precinct,Registered Voters,Janice S. Bryant (I) (Dem)_Election Day Votes,Janice S. Bryant (I) (Dem)_Advanced Voting Votes,Janice S. Bryant (I) (Dem)_Absentee by Mail Votes,Janice S. Bryant (I) (Dem)_Provisional Votes,Janice S. Bryant (I) (Dem)_Choice Total,Total,
0,Terrell,Dawson,3043,361,808,550,0,1719,1719,
1,Terrell,Sasser,1355,210,421,139,0,770,770,
2,Terrell,Bronwood,885,146,217,134,0,497,497,
3,Terrell,Parrott,412,136,83,47,0,266,266,
4,Terrell,Graves,598,117,162,93,0,372,372,
5,Terrell,Herod-Dover,301,74,64,43,0,181,181,
