index,County,Precinct,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,
0,Terrell,Dawson,3043,104,312,118,0,534,288,571,482,0,1341,1875,
1,Terrell,Sasser,1355,182,406,75,0,663,73,125,84,0,282,945,
2,Terrell,Bronwood,885,122,158,51,0,331,67,95,100,0,262,593,
3,Terrell,Parrott,412,117,68,18,0,203,53,25,35,0,113,316,
4,Terrell,Graves,598,114,140,50,0,304,26,49,55,0,130,434,
5,Terrell,Herod-Dover,301,57,50,16,0,123,30,27,31,0,88,211,
