index,County,Precinct,Registered Voters,"Wilbur T. Gamble, III (I) (Ind)_Election Day Votes","Wilbur T. Gamble, III (I) (Ind)_Advanced Voting Votes","Wilbur T. Gamble, III (I) (Ind)_Absentee by Mail Votes","Wilbur T. Gamble, III (I) (Ind)_Provisional Votes","Wilbur T. Gamble, III (I) (Ind)_Choice Total",Ridgely Mu'Min (Ind)_Election Day Votes,Ridgely Mu'Min (Ind)_Advanced Voting Votes,Ridgely Mu'Min (Ind)_Absentee by Mail Votes,Ridgely Mu'Min (Ind)_Provisional Votes,Ridgely Mu'Min (Ind)_Choice Total,Total,
0,Terrell,Dawson,3043,263,604,380,0,1247,110,247,202,0,559,1806,
1,Terrell,Sasser,1355,206,449,103,0,758,38,61,50,0,149,907,
2,Terrell,Bronwood,885,139,199,90,0,428,38,49,55,0,142,570,
3,Terrell,Parrott,412,144,77,34,0,255,20,16,15,0,51,306,
4,Terrell,Graves,598,115,159,78,0,352,21,23,24,1,69,421,
5,Terrell,Herod-Dover,301,68,61,34,0,163,12,15,10,0,37,200,
