index,County,Precinct,Registered Voters,Mary Ellen Harnage (I) (Dem)_Election Day Votes,Mary Ellen Harnage (I) (Dem)_Advanced Voting Votes,Mary Ellen Harnage (I) (Dem)_Absentee by Mail Votes,Mary Ellen Harnage (I) (Dem)_Provisional Votes,Mary Ellen Harnage (I) (Dem)_Choice Total,Total,
0,Terrell,Dawson,3043,363,817,556,0,1736,1736,
1,Terrell,Sasser,1355,211,423,145,0,779,779,
2,Terrell,Bronwood,885,150,213,142,0,505,505,
3,Terrell,Parrott,412,145,87,48,0,280,280,
4,Terrell,Graves,598,121,159,94,0,374,374,
5,Terrell,Herod-Dover,301,75,65,43,0,183,183,
