index,County,Precinct,Registered Voters,"James A. Driver, Jr. (Rep)_Election Day Votes","James A. Driver, Jr. (Rep)_Advanced Voting Votes","James A. Driver, Jr. (Rep)_Absentee by Mail Votes","James A. Driver, Jr. (Rep)_Provisional Votes","James A. Driver, Jr. (Rep)_Choice Total",John W. Bowens (I) (Dem)_Election Day Votes,John W. Bowens (I) (Dem)_Advanced Voting Votes,John W. Bowens (I) (Dem)_Absentee by Mail Votes,John W. Bowens (I) (Dem)_Provisional Votes,John W. Bowens (I) (Dem)_Choice Total,Total,
0,Terrell,Dawson,3043,80,234,92,0,406,311,647,503,0,1461,1867,
1,Terrell,Sasser,1355,153,327,55,0,535,103,203,103,0,409,944,
2,Terrell,Bronwood,885,107,117,35,0,259,83,137,115,0,335,594,
3,Terrell,Parrott,412,103,62,16,0,181,67,33,37,0,137,318,
4,Terrell,Graves,598,88,108,23,0,219,53,79,82,1,215,434,
5,Terrell,Herod-Dover,301,46,41,12,0,99,41,36,35,0,112,211,
