




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
HARBINS A                     7182                          5294                          73.71%
ROCKBRIDGE A                  3987                          2793                          70.05%
DACULA                        4777                          3438                          71.97%
SUWANEE A                     1737                          1260                          72.54%
BAYCREEK A                    2720                          2149                          79.01%
GOODWINS A                    3921                          2776                          70.80%
DULUTH A                      5042                          3878                          76.91%
DUNCANS A                     4729                          3820                          80.78%
PUCKETTS A                    5692                          4514                          79.30%
CATES A                       2387                          1759                          73.69%
BERKSHIRE A                   2555                          1591                          62.27%
BERKSHIRE B                   5338                          3652                          68.42%
DUNCANS C                     3040                          2515                          82.73%
GARNERS A                     3520                          2792                          79.32%
LAWRENCEVILLE A               3635                          2289                          62.97%
LAWRENCEVILLE B               5097                          3540                          69.45%
MARTINS A                     3303                          2061                          62.40%
MARTINS B                     3001                          1983                          66.08%
MARTINS C                     2549                          1805                          70.81%
PINCKNEYVILLE A               2791                          1671                          59.87%
PINCKNEYVILLE B               3485                          2014                          57.79%
PINCKNEYVILLE C               2082                          1678                          80.60%
PINCKNEYVILLE D               2264                          1281                          56.58%
SUGAR HILL A                  4654                          3056                          65.66%
SUGAR HILL B                  5596                          4034                          72.09%
HOG MOUNTAIN A                5011                          3513                          70.11%
HOG MOUNTAIN B                4583                          3562                          77.72%
ROCKYCREEK A                  5939                          4506                          75.87%
CATES B                       1587                          1200                          75.61%
CATES C                       2903                          2111                          72.72%
HOG MOUNTAIN D                3179                          2301                          72.38%
BERKSHIRE D                   2945                          2264                          76.88%
BERKSHIRE E                   1997                          1592                          79.72%
BERKSHIRE F                   2254                          1473                          65.35%
CATES D                       3755                          2846                          75.79%
CATES E                       2942                          2395                          81.41%
PINCKNEYVILLE E               2184                          1324                          60.62%
PINCKNEYVILLE F               2546                          1549                          60.84%
DUNCANS D                     7153                          5542                          77.48%
PINCKNEYVILLE H               4536                          3531                          77.84%
BAYCREEK B                    5969                          4246                          71.13%
LAWRENCEVILLE C               3037                          2210                          72.77%
MARTINS D                     2402                          1380                          57.45%
ROCKBRIDGE B                  4177                          2769                          66.29%
GARNERS B                     3178                          2325                          73.16%
CATES F                       1787                          1429                          79.97%
CATES G                       2875                          2379                          82.75%
DULUTH B                      3551                          2499                          70.37%
GARNERS C                     2030                          1449                          71.38%
PINCKNEYVILLE I               2635                          1617                          61.37%
PINCKNEYVILLE J               2613                          1489                          56.98%
BERKSHIRE G                   2419                          1927                          79.66%
CATES H                       3924                          2533                          64.55%
SUGAR HILL C                  5085                          3909                          76.87%
SUGAR HILL D                  4624                          3307                          71.52%
DULUTH C                      2229                          1611                          72.27%
DULUTH D                      5077                          3340                          65.79%
PINCKNEYVILLE K               3754                          2220                          59.14%
PINCKNEYVILLE N               3819                          2357                          61.72%
LAWRENCEVILLE D               5012                          2779                          55.45%
LAWRENCEVILLE E               2355                          1684                          71.51%
PINCKNEYVILLE L               2330                          2050                          87.98%
PINCKNEYVILLE M               2673                          2277                          85.19%
GARNERS D                     3490                          2391                          68.51%
BERKSHIRE H                   1987                          1228                          61.80%
PINCKNEYVILLE O               3359                          1980                          58.95%
PUCKETTS E                    5660                          3926                          69.36%
CATES I                       3537                          2790                          78.88%
CATES J                       3478                          2597                          74.67%
GOODWINS B                    3960                          2996                          75.66%
LAWRENCEVILLE F               4061                          2806                          69.10%
MARTINS E                     6193                          3297                          53.24%
PINCKNEYVILLE P               2185                          1662                          76.06%
PINCKNEYVILLE Q               1915                          1147                          59.90%
ROCKBRIDGE C                  5125                          3776                          73.68%
ROCKBRIDGE D                  3642                          2703                          74.22%
GOODWINS C                    5804                          3884                          66.92%
BAYCREEK K                    3824                          2909                          76.07%
CATES K                       2810                          2152                          76.58%
BAYCREEK C                    6499                          4883                          75.13%
CATES L                       4185                          3022                          72.21%
DULUTH E                      4814                          3404                          70.71%
GOODWINS D                    4406                          3086                          70.04%
LAWRENCEVILLE G               3046                          2053                          67.40%
LAWRENCEVILLE H               4296                          3198                          74.44%
MARTINS F                     2570                          1524                          59.30%
PINCKNEYVILLE S               3374                          2218                          65.74%
ROCKBRIDGE E                  4638                          2993                          64.53%
SUGAR HILL E                  3589                          2679                          74.64%
LAWRENCEVILLE I               3312                          2198                          66.36%
BAYCREEK D                    4609                          3471                          75.31%
BERKSHIRE J                   2731                          2183                          79.93%
CATES M                       3988                          3246                          81.39%
CATES N                       2567                          2008                          78.22%
DULUTH F                      6161                          3811                          61.86%
DULUTH G                      3067                          2333                          76.07%
GOODWINS E                    5491                          3966                          72.23%
GOODWINS F                    3212                          2249                          70.02%
PINCKNEYVILLE T               3201                          2117                          66.14%
SUWANEE B                     4656                          3630                          77.96%
PINCKNEYVILLE U               2090                          1506                          72.06%
PUCKETTS B                    3096                          2385                          77.03%
BERKSHIRE L                   3265                          2114                          64.75%
ROCKBRIDGE F                  5795                          4161                          71.80%
SUGAR HILL F                  4112                          3019                          73.42%
SUWANEE C                     5675                          4121                          72.62%
CATES O                       1434                          1131                          78.87%
BAYCREEK E                    3265                          2302                          70.51%
BERKSHIRE M                   1864                          1437                          77.09%
MARTINS G                     2425                          1532                          63.18%
DULUTH H                      2813                          2116                          75.22%
BERKSHIRE N                   3128                          2506                          80.12%
PINCKNEYVILLE V               1706                          1114                          65.30%
PINCKNEYVILLE W               4253                          2867                          67.41%
MARTINS H                     5037                          3383                          67.16%
MARTINS I                     4078                          2530                          62.04%
MARTINS J                     3923                          2504                          63.83%
GARNERS F                     1796                          1373                          76.45%
BERKSHIRE O                   2589                          1991                          76.90%
BERKSHIRE P                   1476                          905                           61.31%
PINCKNEYVILLE X               3412                          2694                          78.96%
ROCKBRIDGE G                  5799                          4017                          69.27%
PINCKNEYVILLE Y               3272                          1791                          54.74%
GOODWINS G                    2661                          1766                          66.37%
PINCKNEYVILLE Z               1898                          1638                          86.30%
PINCKNEYVILLE A1              2694                          2335                          86.67%
LAWRENCEVILLE J               2249                          1544                          68.65%
GOODWINS H                    2796                          2044                          73.10%
DUNCANS B                     5387                          4290                          79.64%
SUWANEE D                     4732                          3848                          81.32%
SUWANEE E                     4256                          3452                          81.11%
LAWRENCEVILLE K               3282                          2516                          76.66%
HARBINS B                     4845                          3513                          72.51%
BAYCREEK F                    4608                          3427                          74.37%
PUCKETTS C                    3367                          2438                          72.41%
HOG MOUNTAIN C                4292                          3071                          71.55%
ROCKYCREEK B                  5061                          3769                          74.47%
DULUTH I                      5105                          3853                          75.48%
MARTINS K                     5352                          3633                          67.88%
SUWANEE H                     3785                          3138                          82.91%
SUGAR HILL G                  2814                          2249                          79.92%
SUWANEE F                     3966                          2990                          75.39%
LAWRENCEVILLE L               4802                          3514                          73.18%
LAWRENCEVILLE M               7255                          4845                          66.78%
BAYCREEK G                    6241                          4624                          74.09%
BAYCREEK H                    6811                          5338                          78.37%
BAYCREEK I                    5899                          4127                          69.96%
BERKSHIRE Q                   1802                          1305                          72.42%
GOODWINS I                    2501                          1959                          78.33%
DULUTH K                      2786                          1476                          52.98%
HARBINS C                     2850                          2264                          79.44%
ROCKYCREEK C                  4806                          3719                          77.38%
LAWRENCEVILLE N               2573                          1636                          63.58%
PUCKETTS D                    3622                          2730                          75.37%
SUWANEE G                     3904                          2974                          76.18%
BAYCREEK J                    4567                          3280                          71.82%
Total:                        581467                        416458                        71.62%

                                                                                                                                                                                                 President of the United States/Presidentede los Estados Unidos
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
HARBINS A                     7182                          370                           1542                          490                           3                             2405                          326                           1564                          887                           5                             2782                          26                            35                            18                            1                             80                            5267                          
ROCKBRIDGE A                  3987                          104                           270                           165                           0                             539                           260                           1290                          651                           1                             2202                          4                             11                            11                            0                             26                            2767                          
DACULA                        4777                          241                           917                           232                           1                             1391                          247                           1104                          624                           1                             1976                          14                            27                            9                             0                             50                            3417                          
SUWANEE A                     1737                          120                           296                           132                           1                             549                           92                            381                           207                           0                             680                           9                             10                            7                             0                             26                            1255                          
BAYCREEK A                    2720                          237                           538                           287                           0                             1062                          136                           513                           392                           0                             1041                          15                            11                            10                            0                             36                            2139                          
GOODWINS A                    3921                          312                           564                           224                           1                             1101                          257                           801                           563                           1                             1622                          7                             12                            17                            0                             36                            2759                          
DULUTH A                      5042                          236                           845                           397                           1                             1479                          217                           1084                          999                           1                             2301                          11                            23                            34                            0                             68                            3848                          
DUNCANS A                     4729                          346                           1518                          460                           2                             2326                          137                           774                           524                           0                             1435                          11                            18                            10                            0                             39                            3800                          
PUCKETTS A                    5692                          308                           1937                          605                           1                             2851                          153                           866                           543                           0                             1562                          19                            40                            22                            0                             81                            4494                          
CATES A                       2387                          171                           476                           301                           1                             949                           100                           359                           302                           1                             762                           18                            7                             11                            0                             36                            1747                          
BERKSHIRE A                   2555                          175                           237                           117                           0                             529                           267                           431                           333                           2                             1033                          10                            4                             2                             0                             16                            1578                          
BERKSHIRE B                   5338                          143                           540                           321                           4                             1008                          287                           1401                          896                           5                             2589                          9                             20                            13                            0                             42                            3639                          
DUNCANS C                     3040                          311                           988                           270                           1                             1570                          103                           467                           321                           0                             891                           15                            17                            8                             0                             40                            2501                          
GARNERS A                     3520                          202                           739                           378                           2                             1321                          135                           746                           514                           1                             1396                          10                            29                            12                            0                             51                            2768                          
LAWRENCEVILLE A               3635                          169                           506                           266                           0                             941                           242                           633                           433                           5                             1313                          11                            6                             8                             0                             25                            2279                          
LAWRENCEVILLE B               5097                          146                           633                           274                           3                             1056                          203                           1489                          735                           1                             2428                          11                            9                             10                            0                             30                            3514                          
MARTINS A                     3303                          143                           246                           124                           3                             516                           324                           770                           423                           4                             1521                          8                             4                             7                             0                             19                            2056                          
MARTINS B                     3001                          138                           337                           179                           0                             654                           270                           656                           373                           2                             1301                          8                             7                             3                             0                             18                            1973                          
MARTINS C                     2549                          177                           320                           184                           1                             682                           220                           506                           361                           5                             1092                          10                            9                             7                             0                             26                            1800                          
PINCKNEYVILLE A               2791                          128                           154                           77                            3                             362                           323                           601                           354                           5                             1283                          4                             5                             3                             0                             12                            1657                          
