




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Acworth 1A                    5458                          4030                          73.84%
Acworth 1B                    5214                          3700                          70.96%
Acworth 1C                    5110                          3497                          68.43%
Addison 01                    2444                          1968                          80.52%
Austell 1A                    5329                          3346                          62.79%
Bells Ferry 02                3127                          2328                          74.45%
Bells Ferry 03                2436                          1696                          69.62%
Bells Ferry 04                3646                          2710                          74.33%
Big Shanty 01                 2385                          1619                          67.88%
Big Shanty 02                 3236                          2509                          77.53%
Baker 01                      4773                          3385                          70.92%
Birney 01                     2727                          1830                          67.11%
Birney 02                     3894                          2949                          75.73%
Bryant 01                     2142                          1494                          69.75%
Bryant 02                     6209                          3110                          50.09%
Blackwell 01                  2698                          2077                          76.98%
Chattahoochee 01              5969                          3960                          66.34%
Cheatham Hill 02              3085                          2534                          82.14%
Cheatham Hill 03              4029                          3329                          82.63%
Chalker 01                    6065                          3907                          64.42%
Clarkdale 01                  1937                          1264                          65.26%
Clarkdale 02                  5372                          3686                          68.62%
Cooper 01                     5252                          3352                          63.82%
Chestnut Ridge 01             3162                          2722                          86.08%
Dickerson 01                  2828                          2419                          85.54%
Dobbins 01                    3024                          1441                          47.65%
Dobbins 02                    3984                          2465                          61.87%
Dowell 01                     3197                          2530                          79.14%
Dodgen 01                     2100                          1789                          85.19%
Durham 01                     4256                          3533                          83.01%
Davis 01                      2093                          1713                          81.84%
Eastside 01                   3040                          2594                          85.33%
Eastside 02                   4074                          3401                          83.48%
Elizabeth 01                  4065                          2501                          61.53%
Elizabeth 02                  2434                          1923                          79.01%
Elizabeth 03                  2767                          2291                          82.80%
Elizabeth 04                  3011                          2088                          69.35%
Elizabeth 05                  2884                          2321                          80.48%
East Piedmont 01              2627                          1900                          72.33%
Fair Oaks 02                  5779                          3560                          61.60%
Fair Oaks 04                  5322                          2744                          51.56%
Fullers Park 01               3452                          2879                          83.40%
Ford 01                       3161                          2584                          81.75%
Frey 01                       2582                          2055                          79.59%
Garrison Mill 01              2872                          2367                          82.42%
Gritters 01                   4033                          3033                          75.20%
Harmony-Leland 01             6394                          4595                          71.86%
Harrison 01                   3122                          2545                          81.52%
Hightower 01                  4262                          3600                          84.47%
Hayes 01                      4111                          3296                          80.18%
Kennesaw 1A                   2499                          1679                          67.19%
Kennesaw 2A                   3944                          2768                          70.18%
Kennesaw 3A                   6477                          4331                          66.87%
Kennesaw 4A                   3783                          2717                          71.82%
Kennesaw 5A                   5855                          4532                          77.40%
Kell 01                       2006                          1592                          79.36%
Kemp 01                       1960                          1611                          82.19%
Kemp 02                       4049                          3267                          80.69%
Kemp 03                       3955                          3273                          82.76%
Lassiter 01                   3647                          3021                          82.84%
Lindley 01                    4797                          3788                          78.97%
Lost Mountain 01              3604                          3035                          84.21%
Lost Mountain 02              4121                          3597                          87.28%
Lost Mountain 03              5387                          4408                          81.83%
Lost Mountain 04              2629                          2150                          81.78%
Mableton 01                   5127                          3621                          70.63%
Mableton 02                   3330                          1983                          59.55%
Mableton 03                   3010                          2186                          72.62%
Mableton 04                   1581                          1289                          81.53%
Mabry 01                      1656                          1412                          85.27%
Macland 01                    4213                          2984                          70.83%
Murdock 01                    4059                          3414                          84.11%
