




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Bouldercrest Road             2004                          0                             0                             1                             0                             1                             1                             1                             0                             0                             2                             5                             8                             8                             0                             21                            0                             1                             1                             0                             2                             0                             2                             0                             0                             2                             1                             3                             0                             0                             4                             0                             1                             0                             0                             1                             28                            98                            26                            1                             153                           8                             25                            7                             0                             40                            1                             1                             0                             0                             2                             8                             29                            5                             1                             43                            6                             12                            1                             0                             19                            3                             12                            2                             0                             17                            1                             9                             1                             0                             11                            1                             1                             1                             0                             3                             1                             6                             2                             0                             9                             1                             3                             3                             0                             7                             1                             0                             0                             0                             1                             99                            575                           314                           0                             988                           4                             8                             3                             0                             15                            1341                          
Bethune Middle                4838                          1                             2                             3                             0                             6                             0                             3                             6                             1                             10                            10                            21                            19                            0                             50                            0                             4                             0                             0                             4                             4                             2                             2                             0                             8                             4                             4                             1                             0                             9                             1                             8                             2                             0                             11                            59                            172                           83                            1                             315                           17                            41                            26                            1                             85                            2                             0                             1                             2                             5                             11                            53                            23                            2                             89                            14                            33                            9                             0                             56                            6                             27                            14                            2                             49                            8                             29                            6                             1                             44                            4                             1                             0                             0                             5                             4                             2                             3                             0                             9                             3                             5                             7                             0                             15                            0                             1                             0                             0                             1                             207                           1009                          801                           10                            2027                          2                             11                            11                            0                             24                            2822                          
Burgess Elem                  3493                          1                             3                             1                             0                             5                             0                             2                             1                             0                             3                             11                            27                            17                            2                             57                            1                             13                            7                             0                             21                            0                             0                             4                             0                             4                             0                             3                             2                             0                             5                             3                             3                             2                             0                             8                             22                            91                            35                            1                             149                           6                             26                            13                            1                             46                            0                             3                             1                             0                             4                             5                             23                            9                             0                             37                            9                             54                            19                            2                             84                            23                            52                            33                            0                             108                           4                             8                             3                             0                             15                            3                             8                             8                             0                             19                            4                             3                             5                             0                             12                            1                             3                             5                             0                             9                             0                             2                             1                             0                             3                             127                           1108                          782                           1                             2018                          1                             5                             2                             0                             8                             2615                          
Columbia Drive                2526                          0                             1                             2                             0                             3                             0                             1                             4                             0                             5                             8                             2                             7                             0                             17                            0                             0                             3                             0                             3                             0                             0                             1                             0                             1                             0                             1                             0                             0                             1                             2                             1                             0                             0                             3                             36                            60                            41                            0                             137                           15                            18                            9                             0                             42                            0                             1                             0                             0                             1                             5                             29                            20                            1                             55                            10                            13                            7                             0                             30                            5                             12                            11                            0                             28                            4                             9                             4                             0                             17                            1                             0                             1                             0                             2                             0                             1                             1                             0                             2                             2                             1                             1                             0                             4                             0                             0                             0                             0                             0                             145                           455                           371                           7                             978                           5                             6                             6                             0                             17                            1346                          
Canby Lane Elem               2004                          0                             2                             1                             0                             3                             0                             1                             2                             0                             3                             2                             6                             4                             0                             12                            1                             1                             0                             0                             2                             1                             1                             0                             0                             2                             1                             2                             0                             1                             4                             2                             1                             1                             0                             4                             34                            59                            34                            3                             130                           12                            24                            7                             0                             43                            0                             0                             0                             0                             0                             12                            26                            6                             0                             44                            12                            11                            5                             0                             28                            6                             12                            18                            0                             36                            8                             8                             2                             0                             18                            1                             0                             1                             0                             2                             0                             5                             0                             1                             6                             1                             1                             1                             0                             3                             0                             1                             2                             0                             3                             139                           389                           367                           2                             897                           4                             8                             2                             1                             15                            1255                          
Columbia Elem                 1794                          0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             2                             4                             0                             0                             6                             0                             1                             3                             0                             4                             0                             0                             0                             0                             0                             2                             1                             0                             0                             3                             1                             0                             1                             0                             2                             21                            35                            19                            1                             76                            7                             10                            7                             2                             26                            0                             0                             0                             0                             0                             8                             16                            7                             2                             33                            2                             15                            0                             0                             17                            0                             7                             7                             0                             14                            4                             7                             4                             0                             15                            0                             1                             1                             1                             3                             0                             2                             0                             0                             2                             0                             1                             1                             0                             2                             0                             3                             0                             0                             3                             104                           240                           194                           6                             544                           1                             3                             1                             0                             5                             756                           
Cedar Grove Elem              4097                          2                             1                             4                             0                             7                             2                             2                             3                             0                             7                             7                             9                             5                             0                             21                            0                             2                             1                             1                             4                             2                             0                             3                             0                             5                             1                             6                             1                             0                             8                             3                             5                             1                             0                             9                             47                            213                           46                            1                             307                           26                            60                            20                            1                             107                           1                             2                             0                             1                             4                             14                            61                            12                            1                             88                            12                            37                            5                             0                             54                            6                             13                            10                            0                             29                            6                             25                            0                             0                             31                            3                             9                             3                             0                             15                            2                             14                            6                             0                             22                            3                             4                             4                             0                             11                            2                             1                             0                             0                             3                             173                           1047                          673                           5                             1898                          4                             13                            1                             0                             18                            2648                          
Chamblee                      2231                          0                             0                             2                             0                             2                             2                             1                             4                             0                             7                             37                            99                            31                            1                             168                           2                             1                             4                             0                             7                             3                             9                             3                             0                             15                            2                             6                             1                             0                             9                             4                             8                             0                             0                             12                            23                            76                            37                            0                             136                           5                             15                            15                            1                             36                            0                             8                             4                             0                             12                            8                             33                            6                             0                             47                            6                             67                            13                            0                             86                            64                            194                           51                            0                             309                           3                             13                            2                             0                             18                            11                            9                             8                             0                             28                            1                             2                             0                             0                             3                             1                             1                             3                             0                             5                             0                             7                             1                             0                             8                             56                            361                           283                           1                             701                           3                             8                             3                             0                             14                            1623                          
Candler-Murphey Candler Elem  3712                          1                             1                             1                             0                             3                             1                             0                             3                             0                             4                             11                            31                            19                            0                             61                            3                             2                             1                             0                             6                             2                             2                             1                             0                             5                             1                             0                             0                             0                             1                             0                             3                             0                             0                             3                             47                            204                           79                            0                             330                           14                            41                            24                            1                             80                            3                             0                             0                             0                             3                             17                            69                            15                            1                             102                           13                            45                            7                             0                             65                            12                            44                            28                            0                             84                            9                             29                            6                             0                             44                            1                             6                             1                             0                             8                             2                             5                             1                             0                             8                             1                             2                             6                             0                             9                             2                             2                             1                             0                             5                             173                           1002                          481                           5                             1661                          3                             10                            3                             0                             16                            2498                          
Chapel Hill Elem              3349                          0                             1                             8                             0                             9                             1                             0                             1                             0                             2                             8                             6                             7                             0                             21                            0                             2                             1                             0                             3                             0                             2                             1                             0                             3                             0                             2                             1                             0                             3                             2                             4                             1                             0                             7                             51                            151                           39                            2                             243                           15                            43                            9                             1                             68                            0                             1                             0                             0                             1                             10                            60                            16                            1                             87                            4                             39                            6                             0                             49                            10                            16                            7                             0                             33                            6                             34                            5                             1                             46                            2                             3                             2                             0                             7                             2                             6                             1                             0                             9                             2                             7                             4                             0                             13                            0                             1                             0                             0                             1                             159                           851                           605                           2                             1617                          4                             13                            4                             0                             21                            2243                          
Chesnut Elem                  2363                          0                             1                             1                             0                             2                             3                             3                             1                             0                             7                             31                            74                            32                            0                             137                           0                             6                             3                             0                             9                             6                             1                             1                             0                             8                             1                             3                             0                             0                             4                             4                             8                             3                             0                             15                            31                            95                            42                            0                             168                           13                            28                            18                            0                             59                            1                             2                             0                             1                             4                             6                             29                            5                             0                             40                            19                            54                            26                            0                             99                            58                            143                           49                            0                             250                           5                             10                            0                             0                             15                            2                             5                             3                             0                             10                            1                             3                             5                             0                             9                             1                             4                             3                             0                             8                             0                             4                             0                             0                             4                             100                           460                           240                           1                             801                           1                             6                             2                             0                             9                             1658                          
Clairemont West               3264                          1                             1                             2                             0                             4                             1                             2                             6                             0                             9                             22                            71                            58                            0                             151                           0                             2                             4                             0                             6                             1                             1                             0                             0                             2                             0                             1                             1                             1                             3                             0                             4                             3                             0                             7                             7                             59                            46                            0                             112                           2                             12                            4                             0                             18                            0                             3                             2                             0                             5                             1                             26                            7                             0                             34                            12                            48                            32                            0                             92                            46                            104                           88                            1                             239                           0                             17                            11                            0                             28                            1                             4                             7                             0                             12                            1                             0                             1                             0                             2                             1                             5                             4                             1                             11                            1                             2                             1                             0                             4                             90                            978                           950                           1                             2019                          3                             6                             4                             0                             13                            2771                          
Clairmont Road                3223                          0                             3                             1                             0                             4                             2                             4                             6                             0                             12                            25                            73                            73                            0                             171                           2                             4                             2                             0                             8                             0                             5                             3                             0                             8                             1                             2                             2                             0                             5                             2                             3                             2                             0                             7                             17                            70                            56                            1                             144                           9                             29                            10                            1                             49                            1                             4                             1                             0                             6                             5                             16                            11                            2                             34                            12                            39                            27                            0                             78                            64                            107                           110                           1                             282                           4                             21                            2                             0                             27                            1                             3                             4                             0                             8                             0                             0                             0                             0                             0                             2                             1                             8                             0                             11                            0                             3                             2                             0                             5                             99                            622                           767                           1                             1489                          1                             4                             7                             0                             12                            2360                          
Clarkston                     3878                          7                             2                             4                             0                             13                            4                             5                             7                             1                             17                            9                             29                            11                            1                             50                            6                             3                             4                             0                             13                            7                             10                            2                             0                             19                            3                             2                             0                             0                             5                             5                             11                            2                             0                             18                            74                            189                           78                            3                             344                           26                            70                            23                            0                             119                           0                             5                             2                             0                             7                             25                            51                            18                            2                             96                            18                            41                            7                             0                             66                            18                            31                            21                            1                             71                            15                            22                            2                             0                             39                            3                             7                             3                             0                             13                            0                             5                             4                             0                             9                             2                             4                             3                             1                             10                            2                             0                             0                             0                             2                             190                           538                           271                           5                             1004                          8                             14                            4                             0                             26                            1941                          
Clifton                       1731                          0                             1                             2                             0                             3                             1                             1                             3                             0                             5                             1                             6                             5                             0                             12                            0                             1                             3                             0                             4                             3                             1                             0                             1                             5                             0                             0                             0                             0                             0                             0                             2                             1                             0                             3                             20                            70                            19                            0                             109                           5                             23                            7                             0                             35                            0                             3                             0                             0                             3                             5                             19                            4                             0                             28                            3                             11                            7                             0                             21                            3                             12                            12                            0                             27                            1                             8                             1                             1                             11                            0                             1                             0                             0                             1                             1                             0                             1                             0                             2                             0                             1                             1                             0                             2                             1                             0                             0                             0                             1                             91                            381                           284                           3                             759                           2                             5                             5                             0                             12                            1043                          
