




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Blackrock                     2699                          1988                          73.66%
Brooks                        2567                          2016                          78.54%
Europe                        3310                          2457                          74.23%
Fayetteville East             2147                          1422                          66.23%
Fayetteville West             2362                          1611                          68.20%
Flint                         1732                          1255                          72.46%
Hopeful                       2309                          1653                          71.59%
Morning Creek                 3059                          2234                          73.03%
Rareover                      3045                          2422                          79.54%
Sandy Creek                   4848                          3620                          74.67%
Shakerag East                 1689                          1267                          75.01%
Shakerag West                 1236                          1079                          87.30%
Starrsmill                    3572                          2375                          66.49%
Whitewater                    3564                          2833                          79.49%
Woolsey                       2542                          1878                          73.88%
McIntosh                      3323                          2658                          79.99%
Oak Grove                     1344                          1063                          79.09%
Kedron                        4862                          3798                          78.12%
Aberdeen                      1805                          1395                          77.29%
Windgate                      1011                          815                           80.61%
Flat Creek                    2117                          1532                          72.37%
Braelinn                      1876                          1527                          81.40%
Kenwood                       1014                          765                           75.44%
Banks                         1624                          1166                          71.80%
Harps Crossing                1646                          1172                          71.20%
Willow Pond                   3100                          2311                          74.55%
Dogwood                       3092                          2515                          81.34%
Oak Ridge                     2225                          1630                          73.26%
Jeff Davis                    2876                          1839                          63.94%
Murphy                        3224                          2324                          72.08%
Fielding Ridge                3497                          2844                          81.33%
Willowbend                    2007                          1554                          77.43%
Camp Creek                    1895                          1534                          80.95%
Rising Star                   3833                          3398                          88.65%
Spring Hill                   3299                          2333                          70.72%
Antioch                       1956                          1371                          70.09%
Total:                        92307                         69654                         75.46%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          82                            272                           204                           5                             563                           146                           762                           490                           5                             1403                          3                             4                             5                             0                             12                            1978                          
Brooks                        2567                          529                           850                           286                           2                             1667                          44                            114                           168                           0                             326                           6                             5                             8                             0                             19                            2012                          
Europe                        3310                          53                            165                           87                            3                             308                           197                           1124                          778                           12                            2111                          7                             9                             10                            0                             26                            2445                          
Fayetteville East             2147                          75                            295                           157                           3                             530                           104                           464                           289                           5                             862                           9                             6                             9                             0                             24                            1416                          
Fayetteville West             2362                          120                           367                           166                           0                             653                           94                            511                           322                           1                             928                           8                             13                            3                             0                             24                            1605                          
Flint                         1732                          128                           201                           119                           0                             448                           87                            460                           235                           0                             782                           9                             4                             7                             0                             20                            1250                          
Hopeful                       2309                          150                           342                           105                           0                             597                           154                           507                           368                           1                             1030                          5                             8                             6                             0                             19                            1646                          
Morning Creek                 3059                          114                           440                           281                           1                             836                           145                           701                           514                           1                             1361                          4                             11                            5                             0                             20                            2217                          
Rareover                      3045                          140                           1186                          198                           3                             1527                          61                            563                           200                           0                             824                           11                            34                            3                             0                             48                            2399                          
Sandy Creek                   4848                          146                           940                           232                           3                             1321                          169                           1473                          590                           3                             2235                          5                             26                            7                             0                             38                            3594                          
Shakerag East                 1689                          179                           466                           124                           1                             770                           70                            247                           152                           1                             470                           11                            7                             2                             0                             20                            1260                          
Shakerag West                 1236                          49                            464                           119                           1                             633                           24                            222                           169                           1                             416                           4                             15                            2                             0                             21                            1070                          
Starrsmill                    3572                          377                           962                           370                           0                             1709                          93                            267                           260                           0                             620                           18                            9                             5                             0                             32                            2361                          
Whitewater                    3564                          285                           1165                          357                           4                             1811                          94                            515                           351                           7                             967                           8                             16                            16                            0                             40                            2818                          
Woolsey                       2542                          324                           745                           339                           0                             1408                          53                            172                           219                           0                             444                           10                            3                             2                             0                             15                            1867                          
McIntosh                      3323                          189                           1113                          313                           1                             1616                          72                            566                           366                           1                             1005                          7                             15                            6                             0                             28                            2649                          
