




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Ellenwood 1                   3020                          2184                          72.32%
Ellenwood 2                   3273                          2335                          71.34%
Forest Park 1                 3566                          1583                          44.39%
Forest Park 2                 2821                          1487                          52.71%
Forest Park 3                 2845                          1368                          48.08%
Forest Park 4                 1783                          1023                          57.38%
Forest Park 5                 3924                          1914                          48.78%
Forest Park 6                 1463                          841                           57.48%
Jonesboro 1                   3244                          1996                          61.53%
Jonesboro 2                   4345                          2587                          59.54%
Jonesboro 3                   4107                          2671                          65.04%
Jonesboro 4                   2574                          1202                          46.70%
Jonesboro 5                   2064                          1348                          65.31%
Jonesboro 6                   2574                          2014                          78.24%
Jonesboro 7                   3174                          2026                          63.83%
Jonesboro 8                   3947                          1963                          49.73%
Jonesboro 9                   1759                          795                           45.20%
Jonesboro 10                  3398                          1635                          48.12%
Jonesboro 11                  3863                          2621                          67.85%
Jonesboro 12                  3067                          1738                          56.67%
Jonesboro 13                  2140                          1452                          67.85%
Jonesboro 14                  4116                          3016                          73.28%
Jonesboro 15                  2872                          1322                          46.03%
Jonesboro 16                  2560                          1366                          53.36%
Jonesboro 17                  3359                          1730                          51.50%
Jonesboro 18                  3301                          1900                          57.56%
Jonesboro 19                  3299                          1897                          57.50%
Lake City                     3217                          1715                          53.31%
Lovejoy 1                     4061                          2643                          65.08%
Lovejoy 2                     3611                          2065                          57.19%
Lovejoy 3                     1666                          1283                          77.01%
Lovejoy 4                     4149                          2714                          65.41%
Lovejoy 5                     3451                          2002                          58.01%
Lovejoy 6                     3708                          2362                          63.70%
Lovejoy 7                     2779                          1471                          52.93%
Morrow 1                      3328                          1703                          51.17%
Morrow 2                      2081                          1286                          61.80%
Morrow 3                      2407                          1475                          61.28%
Morrow 4                      2112                          1172                          55.49%
Morrow 5                      3056                          2184                          71.47%
Morrow 6                      3030                          1952                          64.42%
Morrow 7                      2142                          1168                          54.53%
Morrow 8                      3185                          2099                          65.90%
Morrow 9                      1509                          875                           57.99%
Morrow 10                     2342                          1446                          61.74%
Morrow 11                     2295                          1364                          59.43%
Oak 1                         2635                          1430                          54.27%
Oak 2                         1974                          972                           49.24%
Oak 3                         2731                          1456                          53.31%
Oak 4                         4233                          2198                          51.93%
Oak 5                         1795                          719                           40.06%
Panhandle 1                   2895                          2075                          71.68%
Panhandle 2                   3382                          2377                          70.28%
Riverdale 1                   2330                          1581                          67.85%
Riverdale 2                   3431                          1927                          56.16%
Riverdale 3                   3650                          2211                          60.58%
Riverdale 4                   4362                          2316                          53.09%
Riverdale 5                   2970                          1743                          58.69%
Riverdale 6                   3661                          1623                          44.33%
Riverdale 7                   3020                          1357                          44.93%
Riverdale 8                   2895                          1944                          67.15%
Riverdale 9                   2653                          1562                          58.88%
Riverdale 10                  3176                          1403                          44.18%
Riverdale 11                  1881                          1193                          63.42%
Riverdale 12                  3065                          1905                          62.15%
Total:                        193326                        112985                        58.44%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Ellenwood 1                   3020                          24                            62                            34                            0                             120                           217                           1161                          655                           5                             2038                          4                             6                             4                             0                             14                            2172                          
Ellenwood 2                   3273                          34                            84                            49                            1                             168                           227                           1307                          599                           2                             2135                          8                             9                             4                             0                             21                            2324                          
Forest Park 1                 3566                          85                            144                           84                            1                             314                           375                           489                           352                           11                            1227                          12                            7                             5                             0                             24                            1565                          
Forest Park 2                 2821                          87                            93                            89                            2                             271                           282                           548                           354                           11                            1195                          8                             6                             4                             0                             18                            1484                          
Forest Park 3                 2845                          79                            132                           62                            2                             275                           241                           455                           353                           20                            1069                          2                             7                             5                             0                             14                            1358                          
Forest Park 4                 1783                          83                            184                           78                            2                             347                           152                           341                           162                           0                             655                           5                             6                             5                             0                             16                            1018                          
Forest Park 5                 3924                          91                            191                           101                           0                             383                           393                           717                           377                           20                            1507                          5                             3                             5                             0                             13                            1903                          
Forest Park 6                 1463                          52                            175                           75                            1                             303                           103                           291                           121                           4                             519                           4                             5                             0                             0                             9                             831                           
Jonesboro 1                   3244                          39                            73                            57                            0                             169                           263                           933                           592                           5                             1793                          8                             10                            6                             0                             24                            1986                          
Jonesboro 2                   4345                          42                            67                            43                            3                             155                           364                           1276                          735                           10                            2385                          8                             7                             10                            0                             25                            2565                          
Jonesboro 3                   4107                          85                            238                           135                           2                             460                           264                           1146                          761                           7                             2178                          4                             10                            2                             0                             16                            2654                          
Jonesboro 4                   2574                          47                            94                            67                            0                             208                           212                           499                           257                           6                             974                           4                             7                             4                             0                             15                            1197                          
Jonesboro 5                   2064                          83                            146                           77                            0                             306                           214                           511                           297                           1                             1023                          4                             6                             3                             0                             13                            1342                          
Jonesboro 6                   2574                          121                           498                           254                           1                             874                           105                           503                           490                           3                             1101                          3                             9                             11                            0                             23                            1998                          
Jonesboro 7                   3174                          50                            206                           123                           0                             379                           266                           871                           475                           6                             1618                          6                             9                             2                             0                             17                            2014                          
Jonesboro 8                   3947                          48                            96                            34                            0                             178                           405                           981                           371                           4                             1761                          6                             5                             3                             0                             14                            1953                          
Jonesboro 9                   1759                          55                            43                            56                            0                             154                           128                           313                           175                           6                             622                           1                             4                             7                             0                             12                            788                           
Jonesboro 10                  3398                          57                            88                            63                            1                             209                           321                           676                           395                           5                             1397                          11                            4                             9                             0                             24                            1630                          
Jonesboro 11                  3863                          96                            275                           151                           2                             524                           240                           1113                          702                           4                             2059                          5                             6                             10                            0                             21                            2604                          
Jonesboro 12                  3067                          38                            65                            39                            0                             142                           294                           833                           431                           17                            1575                          8                             2                             4                             0                             14                            1731                          
Jonesboro 13                  2140                          80                            94                            42                            0                             216                           207                           651                           357                           4                             1219                          2                             3                             4                             0                             9                             1444                          
Jonesboro 14                  4116                          116                           424                           287                           2                             829                           238                           1179                          729                           3                             2149                          6                             12                            11                            0                             29                            3007                          
Jonesboro 15                  2872                          23                            75                            45                            1                             144                           248                           652                           246                           8                             1154                          3                             7                             5                             1                             16                            1314                          
Jonesboro 16                  2560                          63                            72                            68                            0                             203                           271                           533                           324                           5                             1133                          12                            7                             2                             0                             21                            1357                          
Jonesboro 17                  3359                          46                            65                            39                            0                             150                           283                           776                           490                           11                            1560                          6                             3                             5                             0                             14                            1724                          
Jonesboro 18                  3301                          50                            129                           74                            0                             253                           320                           882                           413                           6                             1621                          1                             4                             7                             0                             12                            1886                          
Jonesboro 19                  3299                          45                            91                            45                            0                             181                           273                           880                           514                           11                            1678                          4                             11                            8                             0                             23                            1882                          
Lake City                     3217                          43                            146                           57                            2                             248                           261                           795                           380                           7                             1443                          2                             5                             5                             1                             13                            1704                          
Lovejoy 1                     4061                          77                            192                           83                            0                             352                           296                           1331                          620                           2                             2249                          9                             8                             7                             0                             24                            2625                          
Lovejoy 2                     3611                          48                            151                           64                            3                             266                           228                           1075                          461                           7                             1771                          5                             8                             6                             0                             19                            2056                          
Lovejoy 3                     1666                          21                            99                            76                            0                             196                           113                           600                           348                           3                             1064                          3                             1                             5                             0                             9                             1269                          
Lovejoy 4                     4149                          42                            147                           63                            1                             253                           274                           1518                          634                           3                             2429                          5                             14                            9                             0                             28                            2710                          
Lovejoy 5                     3451                          39                            88                            51                            1                             179                           283                           1013                          489                           15                            1800                          3                             5                             3                             0                             11                            1990                          
Lovejoy 6                     3708                          39                            130                           78                            2                             249                           276                           1218                          584                           9                             2087                          1                             10                            7                             0                             18                            2354                          
Lovejoy 7                     2779                          62                            156                           35                            2                             255                           221                           756                           218                           6                             1201                          7                             3                             1                             0                             11                            1467                          
Morrow 1                      3328                          57                            87                            57                            1                             202                           388                           731                           357                           2                             1478                          10                            4                             3                             0                             17                            1697                          
Morrow 2                      2081                          77                            280                           109                           2                             468                           112                           449                           226                           2                             789                           2                             5                             3                             0                             10                            1267                          
Morrow 3                      2407                          61                            219                           109                           1                             390                           157                           573                           330                           4                             1064                          5                             6                             4                             0                             15                            1469                          
Morrow 4                      2112                          50                            138                           72                            0                             260                           182                           446                           261                           3                             892                           4                             5                             5                             0                             14                            1166                          
Morrow 5                      3056                          47                            120                           74                            0                             241                           256                           1065                          582                           3                             1906                          9                             8                             6                             0                             23                            2170                          
Morrow 6                      3030                          70                            159                           105                           1                             335                           275                           907                           410                           5                             1597                          3                             8                             4                             0                             15                            1947                          
Morrow 7                      2142                          46                            122                           49                            1                             218                           248                           445                           229                           6                             928                           7                             6                             3                             0                             16                            1162                          
Morrow 8                      3185                          39                            85                            48                            1                             173                           260                           1090                          528                           10                            1888                          5                             11                            8                             0                             24                            2085                          
Morrow 9                      1509                          35                            72                            31                            1                             139                           112                           390                           216                           0                             718                           5                             3                             5                             0                             13                            870                           
Morrow 10                     2342                          41                            164                           42                            0                             247                           147                           757                           276                           3                             1183                          1                             9                             2                             0                             12                            1442                          
Morrow 11                     2295                          39                            92                            34                            2                             167                           224                           669                           285                           1                             1179                          6                             3                             2                             0                             11                            1357                          
Oak 1                         2635                          33                            29                            14                            0                             76                            313                           732                           284                           3                             1332                          7                             3                             4                             0                             14                            1422                          
Oak 2                         1974                          22                            32                            21                            3                             78                            231                           420                           226                           8                             885                           3                             5                             1                             0                             9                             972                           
Oak 3                         2731                          12                            35                            18                            0                             65                            325                           660                           373                           6                             1364                          4                             4                             4                             0                             12                            1441                          
Oak 4                         4233                          39                            63                            35                            0                             137                           426                           1111                          485                           9                             2031                          3                             12                            1                             0                             16                            2184                          
Oak 5                         1795                          17                            27                            8                             1                             53                            172                           395                           83                            7                             657                           2                             2                             1                             0                             5                             715                           
Panhandle 1                   2895                          47                            116                           64                            1                             228                           226                           1028                          562                           1                             1817                          5                             6                             6                             0                             17                            2062                          
Panhandle 2                   3382                          98                            284                           107                           1                             490                           265                           1107                          475                           5                             1852                          3                             9                             7                             0                             19                            2361                          
Riverdale 1                   2330                          20                            61                            42                            1                             124                           167                           834                           431                           8                             1440                          7                             2                             0                             0                             9                             1573                          
Riverdale 2                   3431                          37                            50                            33                            4                             124                           298                           900                           548                           26                            1772                          6                             7                             6                             1                             20                            1916                          
Riverdale 3                   3650                          44                            59                            42                            0                             145                           325                           1096                          605                           7                             2033                          5                             5                             9                             0                             19                            2197                          
Riverdale 4                   4362                          42                            112                           71                            0                             225                           426                           975                           647                           10                            2058                          8                             6                             8                             0                             22                            2305                          
