




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Locust Grove                  6978                          4879                          69.92%
Tussahaw                      3409                          2580                          75.68%
Sandy Ridge                   4875                          3646                          74.79%
Westside                      6971                          3839                          55.07%
Lowes                         9878                          6846                          69.31%
South Hampton                 5476                          3858                          70.45%
North Hampton                 7156                          4935                          68.96%
Mt Carmel                     5335                          4032                          75.58%
Red Oak                       5610                          4090                          72.91%
Wesley Lakes                  6144                          4269                          69.48%
McDonough                     2838                          1999                          70.44%
McMullen                      3719                          2928                          78.73%
East Lake                     3389                          2736                          80.73%
Hickory Flat                  5122                          3913                          76.40%
Stockbridge East-West         6541                          4391                          67.13%
Stagecoach                    3546                          2417                          68.16%
Cotton Indian                 4785                          3332                          69.63%
Pleasant Grove                4135                          3220                          77.87%
Austin Road                   3374                          2548                          75.52%
Swan Lake                     3642                          2567                          70.48%
Shakerag                      4047                          2948                          72.84%
Ellenwood                     4275                          3208                          75.04%
Unity Grove                   4850                          3688                          76.04%
Shiloh                        4077                          2635                          64.63%
Pates Creek                   5214                          3649                          69.98%
Oakland                       4508                          3330                          73.87%
Lake Dow                      5049                          3854                          76.33%
Flippen                       4430                          3427                          77.36%
Stockbridge Central           4416                          2759                          62.48%
Kelleytown                    3452                          2795                          80.97%
Lighthouse                    3693                          2718                          73.60%
Dutchtown                     2751                          2046                          74.37%
Mt Bethel                     3535                          2680                          75.81%
Grove Park                    4079                          2778                          68.10%
Lake Haven                    4260                          3123                          73.31%
McDonough Central             4250                          3047                          71.69%
Timberridge                   2096                          1667                          79.53%
Total:                        171905                        123377                        71.77%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Locust Grove                  6978                          216                           1049                          237                           2                             1504                          347                           2025                          901                           1                             3274                          19                            30                            17                            0                             66                            4844                          
Tussahaw                      3409                          557                           1305                          250                           0                             2112                          64                            205                           154                           0                             423                           14                            15                            9                             0                             38                            2573                          
Sandy Ridge                   4875                          616                           1780                          268                           2                             2666                          130                           515                           278                           3                             926                           14                            18                            5                             0                             37                            3629                          
Westside                      6971                          137                           320                           138                           0                             595                           535                           1666                          965                           7                             3173                          8                             24                            12                            0                             44                            3812                          
Lowes                         9878                          297                           1432                          332                           3                             2064                          537                           2665                          1461                          3                             4666                          18                            35                            20                            1                             74                            6804                          
South Hampton                 5476                          217                           1288                          209                           1                             1715                          256                           1240                          577                           1                             2074                          13                            25                            5                             0                             43                            3832                          
North Hampton                 7156                          233                           1352                          302                           0                             1887                          334                           1775                          845                           2                             2956                          14                            43                            10                            0                             67                            4910                          
Mt Carmel                     5335                          109                           504                           169                           0                             782                           290                           2023                          887                           1                             3201                          6                             16                            9                             0                             31                            4014                          
Red Oak                       5610                          100                           360                           158                           0                             618                           339                           2212                          868                           1                             3420                          6                             19                            7                             0                             32                            4070                          
Wesley Lakes                  6144                          137                           590                           188                           1                             916                           402                           2028                          853                           5                             3288                          4                             23                            11                            0                             38                            4242                          
McDonough                     2838                          94                            329                           99                            0                             522                           175                           841                           429                           6                             1451                          6                             5                             6                             0                             17                            1990                          
McMullen                      3719                          481                           1195                          222                           0                             1898                          121                           558                           290                           0                             969                           17                            22                            12                            0                             51                            2918                          
East Lake                     3389                          243                           1284                          311                           0                             1838                          100                           500                           263                           0                             863                           6                             15                            6                             0                             27                            2728                          
Hickory Flat                  5122                          145                           826                           250                           0                             1221                          300                           1618                          717                           1                             2636                          5                             20                            10                            0                             35                            3892                          
Stockbridge East-West         6541                          104                           379                           181                           3                             667                           377                           2173                          1110                          2                             3662                          7                             15                            8                             0                             30                            4359                          
Stagecoach                    3546                          117                           645                           168                           1                             931                           198                           870                           382                           3                             1453                          3                             10                            6                             0                             19                            2403                          
