




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Air Acres                     3050                          2521                          82.66%
Arnold Mill                   4884                          3991                          81.72%
Avery                         3592                          2935                          81.71%
Ball Ground                   4065                          3099                          76.24%
Bascomb                       4115                          3209                          77.98%
Bells                         5906                          4183                          70.83%
Booth                         3899                          3135                          80.41%
Bradshaw                      4491                          3712                          82.65%
Bridgemill                    5113                          4194                          82.03%
Canton                        8213                          5798                          70.60%
Carmel                        4581                          3109                          67.87%
Clayton                       4906                          3740                          76.23%
Conns Creek                   895                           686                           76.65%
Deer Run                      3035                          2386                          78.62%
Dixie                         5733                          4026                          70.23%
Freehome                      5790                          4715                          81.43%
Hickory Flat                  7334                          5946                          81.07%
Hightower                     3483                          2795                          80.25%
Hillside                      3155                          2576                          81.65%
Holly Springs                 3262                          2231                          68.39%
Kellogg                       5482                          3738                          68.19%
Liberty                       8350                          6026                          72.17%
Little River                  7480                          6023                          80.52%
Macedonia                     4853                          3983                          82.07%
Mountain Road                 3078                          2463                          80.02%
Neese                         7642                          5617                          73.50%
Oak Grove                     3749                          2669                          71.19%
R M Moore                     3468                          2623                          75.63%
R T Jones                     2525                          1567                          62.06%
Rosecreek                     3748                          2968                          79.19%
Salacoa                       727                           530                           72.90%
Sixes                         3101                          2545                          82.07%
Sutallee                      2540                          2054                          80.87%
Teasley                       7981                          6120                          76.68%
Toonigh                       6641                          5138                          77.37%
Union Hill                    4207                          3468                          82.43%
Univeter                      5434                          4107                          75.58%
Victoria                      3132                          2329                          74.36%
Waleska                       2875                          2262                          78.68%
Wildcat                       3215                          2417                          75.18%
Woodlands                     3456                          2696                          78.01%
Woodstock                     7345                          5209                          70.92%
Total:                        190531                        145539                        76.39%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Air Acres                     3050                          417                           745                           348                           2                             1512                          131                           366                           446                           0                             943                           19                            18                            10                            0                             47                            2502                          
Arnold Mill                   4884                          754                           1455                          587                           0                             2796                          168                           444                           487                           0                             1099                          25                            30                            17                            0                             72                            3967                          
Avery                         3592                          437                           1386                          478                           1                             2302                          78                            248                           254                           0                             580                           14                            14                            11                            0                             39                            2921                          
Ball Ground                   4065                          503                           1729                          316                           1                             2549                          72                            241                           176                           0                             489                           19                            25                            8                             0                             52                            3090                          
Bascomb                       4115                          575                           1174                          409                           0                             2158                          155                           445                           381                           0                             981                           31                            18                            8                             0                             57                            3196                          
Bells                         5906                          604                           1158                          499                           1                             2262                          272                           872                           672                           0                             1816                          29                            33                            26                            0                             88                            4166                          
Booth                         3899                          387                           1221                          441                           0                             2049                          125                           450                           434                           0                             1009                          15                            26                            16                            0                             57                            3115                          
Bradshaw                      4491                          455                           1636                          583                           0                             2674                          113                           442                           403                           0                             958                           22                            29                            10                            0                             61                            3693                          
Bridgemill                    5113                          605                           1828                          563                           0                             2996                          126                           500                           497                           0                             1123                          20                            17                            15                            0                             52                            4171                          
Canton                        8213                          617                           2176                          1021                          0                             3814                          233                           768                           893                           0                             1894                          26                            27                            17                            0                             70                            5778                          
Carmel                        4581                          496                           841                           385                           1                             1723                          287                           534                           494                           1                             1316                          20                            17                            14                            1                             52                            3091                          
Clayton                       4906                          713                           1657                          493                           1                             2864                          119                           330                           341                           0                             790                           29                            31                            14                            0                             74                            3728                          
Conns Creek                   895                           271                           284                           61                            0                             616                           17                            22                            25                            0                             64                            5                             1                             0                             0                             6                             686                           
Deer Run                      3035                          572                           644                           271                           1                             1488                          144                           377                           315                           0                             836                           18                            19                            8                             0                             45                            2369                          
Dixie                         5733                          532                           1294                          487                           0                             2313                          282                           700                           625                           0                             1607                          31                            32                            25                            0                             88                            4008                          
Freehome                      5790                          685                           2170                          741                           0                             3596                          101                           423                           492                           0                             1016                          29                            25                            24                            0                             78                            4690                          
Hickory Flat                  7334                          740                           2518                          752                           2                             4012                          200                           906                           707                           0                             1813                          32                            38                            21                            0                             91                            5916                          
