




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
01A                           3694                          2870                          77.69%
01B                           4327                          3348                          77.37%
01C                           1908                          786                           41.19%
01D                           754                           478                           63.40%
01E                           3720                          2778                          74.68%
01F                           1593                          528                           33.15%
01G                           2312                          1273                          55.06%
01H                           896                           431                           48.10%
01I                           0                             1                             0.00%
01J                           2848                          1394                          48.95%
01P                           1444                          644                           44.60%
01R                           1550                          525                           33.87%
01S                           2118                          998                           47.12%
01T                           1799                          899                           49.97%
02A                           4884                          3721                          76.19%
02A1                          733                           456                           62.21%
02B                           4020                          1446                          35.97%
02C                           2034                          1337                          65.73%
02D                           5539                          3750                          67.70%
02E                           2009                          1628                          81.04%
02F1                          3221                          2420                          75.13%
02F2                          851                           508                           59.69%
02G                           3895                          2932                          75.28%
02J                           2273                          1628                          71.62%
02K                           1461                          1078                          73.79%
02L1                          5546                          4190                          75.55%
02L1A                         1477                          850                           57.55%
02L2                          2249                          1550                          68.92%
02S                           790                           505                           63.92%
02W                           978                           660                           67.48%
03A                           2230                          831                           37.26%
03B                           777                           238                           30.63%
03C                           1879                          775                           41.25%
03D                           1235                          468                           37.89%
03E                           2894                          1125                          38.87%
03F                           2328                          1512                          64.95%
03G                           1033                          293                           28.36%
03H                           1091                          430                           39.41%
03I                           1607                          670                           41.69%
03L                           748                           225                           30.08%
03M                           965                           561                           58.13%
03N                           2804                          939                           33.49%
03P1A                         4404                          2490                          56.54%
03P2                          23                            7                             30.43%
03S                           908                           429                           47.25%
03T                           1742                          843                           48.39%
04A                           1554                          617                           39.70%
04B                           2948                          806                           27.34%
04C                           150                           52                            34.67%
04D                           1736                          865                           49.83%
04F                           2786                          1286                          46.16%
04G                           1025                          413                           40.29%
04I                           4604                          861                           18.70%
04J                           1617                          200                           12.37%
04K                           2736                          1370                          50.07%
04L                           2014                          1001                          49.70%
04M                           979                           350                           35.75%
04S                           2541                          1269                          49.94%
04T                           1297                          695                           53.59%
04V                           3573                          1387                          38.82%
04W                           3365                          228                           6.78%
04X1                          2283                          1111                          48.66%
04X2                          846                           424                           50.12%
05A1                          2936                          2232                          76.02%
05A2                          3343                          2441                          73.02%
05B                           2171                          1136                          52.33%
05C                           135                           45                            33.33%
