




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Kiokee Baptist Church         2541                          2107                          82.92%
Lewis Methodist Church        3737                          2910                          77.87%
Woodlawn Baptist Church       1290                          1018                          78.91%
Patriots Park                 4046                          3075                          76.00%
New Life Church               4438                          3225                          72.67%
Harlem Branch Library         2642                          1902                          71.99%
Harlem Senior Center          1819                          1393                          76.58%
Second Mt Moriah Baptist Church1027                          801                           77.99%
Bessie Thomas Center          799                           629                           78.72%
Philadelphia Church           2355                          1735                          73.67%
Liberty Park-Grovetown        3410                          2260                          66.28%
Grovetown Methodist Church    2736                          1688                          61.70%
G A Apostolic Church          1701                          1233                          72.49%
Grovetown Public Safety Station 23696                          2522                          68.24%
Grove First Baptist Church    2954                          1987                          67.26%
Eubank-Blanchard Center       1576                          1236                          78.43%
Second Mt Carmel Baptist Church731                           560                           76.61%
Damascus Baptist Church       1023                          828                           80.94%
Col Cty Bd of Edu             2143                          1661                          77.51%
Greenbrier High               3369                          2731                          81.06%
Parkway Baptist Church        4596                          3671                          79.87%
Riverview Church              1320                          1084                          82.12%
Grace Baptist Church          3558                          2756                          77.46%
Christ Sanctified             2521                          1876                          74.41%
Blanchard Park                2026                          1421                          70.14%
Belair Baptist Church         2440                          1830                          75.00%
Marvin Methodist              1937                          1396                          72.07%
Westside Baptist Church       1516                          1221                          80.54%
Trinity Baptist Church        2836                          2093                          73.80%
Abilene Baptist               2046                          1448                          70.77%
Augusta Christian             2179                          1640                          75.26%
Savannah Rapids Pavilion      1549                          1400                          90.38%
Gospel Water Branch           2096                          1697                          80.96%
Genesis Church                1830                          1443                          78.85%
Stevens Creek Church          2760                          2323                          84.17%
Mtz Col Fire Hdqtr            1291                          851                           65.92%
Lakeside Middle               1923                          1384                          71.97%
Martinez Baptist              1962                          1329                          67.74%
Gold Cross EMS                1889                          1412                          74.75%
Church of Our Savior          2310                          1666                          72.12%
West Acres Baptist            2424                          1832                          75.58%
Journey Comm Church           1268                          1069                          84.31%
Wesley Methodist              2434                          1921                          78.92%
Col Cty Main Library          2106                          1580                          75.02%
Christ Church Presbyterian    2081                          1678                          80.63%
Blue Ridge Elementary         2301                          1680                          73.01%
Christ The King Luth Church   2148                          1771                          82.45%
Total:                        107380                        80973                         75.41%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Kiokee Baptist Church         2541                          454                           1149                          179                           0                             1782                          39                            146                           110                           0                             295                           8                             8                             7                             0                             23                            2100                          
Lewis Methodist Church        3737                          410                           1055                          255                           1                             1721                          129                           596                           390                           1                             1116                          24                            21                            12                            0                             57                            2894                          
Woodlawn Baptist Church       1290                          170                           457                           99                            0                             726                           27                            143                           105                           0                             275                           5                             4                             2                             0                             11                            1012                          
Patriots Park                 4046                          349                           1307                          178                           0                             1834                          130                           674                           344                           0                             1148                          17                            43                            11                            0                             71                            3053                          
New Life Church               4438                          329                           934                           169                           1                             1433                          236                           1023                          430                           3                             1692                          36                            37                            12                            0                             85                            3210                          
Harlem Branch Library         2642                          365                           864                           174                           2                             1405                          82                            245                           133                           0                             460                           9                             9                             10                            0                             28                            1893                          
Harlem Senior Center          1819                          307                           451                           69                            0                             827                           115                           240                           185                           0                             540                           10                            12                            2                             0                             24                            1391                          
Second Mt Moriah Baptist Church1027                          163                           393                           66                            1                             623                           26                            80                            53                            0                             159                           4                             10                            3                             0                             17                            799                           
Bessie Thomas Center          799                           112                           359                           58                            2                             531                           14                            50                            24                            0                             88                            2                             6                             2                             0                             10                            629                           
Philadelphia Church           2355                          205                           614                           115                           1                             935                           118                           423                           198                           0                             739                           18                            28                            9                             0                             55                            1729                          
Liberty Park-Grovetown        3410                          279                           646                           137                           2                             1064                          220                           609                           318                           2                             1149                          16                            18                            5                             0                             39                            2252                          
Grovetown Methodist Church    2736                          192                           305                           108                           2                             607                           258                           520                           268                           5                             1051                          8                             14                            6                             0                             28                            1686                          
G A Apostolic Church          1701                          249                           371                           117                           0                             737                           78                            244                           148                           1                             471                           4                             15                            2                             0                             21                            1229                          
Grovetown Public Safety Station 23696                          237                           650                           133                           1                             1021                          219                           790                           413                           1                             1423                          24                            29                            10                            0                             63                            2507                          
Grove First Baptist Church    2954                          179                           523                           80                            0                             782                           157                           678                           327                           1                             1163                          10                            17                            8                             0                             35                            1980                          
Eubank-Blanchard Center       1576                          380                           490                           76                            1                             947                           84                            110                           83                            0                             277                           3                             8                             0                             0                             11                            1235                          
Second Mt Carmel Baptist Church731                           106                           141                           21                            0                             268                           126                           71                            87                            0                             284                           0                             2                             2                             0                             4                             556                           
Damascus Baptist Church       1023                          354                           300                           65                            1                             720                           34                            34                            31                            0                             99                            3                             2                             0                             0                             5                             824                           
Col Cty Bd of Edu             2143                          224                           692                           150                           2                             1068                          97                            298                           174                           1                             570                           5                             6                             5                             0                             16                            1654                          
Greenbrier High               3369                          476                           1180                          212                           3                             1871                          110                           389                           293                           1                             793                           14                            24                            8                             0                             46                            2710                          
Parkway Baptist Church        4596                          579                           1491                          252                           2                             2324                          152                           741                           375                           1                             1269                          29                            21                            10                            0                             60                            3653                          
