County,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_TOTAL VOTES,Total,
Catoosa,5644,3723,18477,21,27865,27865,
Chattooga,2607,1339,4754,6,8706,8706,
Dade,2066,755,3509,5,6335,6335,
Walker,5989,4288,14942,8,25227,25227,
