County,George R. Christian (I) (Rep)_Election Day Votes,George R. Christian (I) (Rep)_Absentee by Mail Votes,George R. Christian (I) (Rep)_Advanced Voting Votes,George R. Christian (I) (Rep)_Provisional Votes,George R. Christian (I) (Rep)_TOTAL VOTES,Total,
Habersham,2899,3270,11656,16,17841,17841,
Rabun,1301,2031,4914,0,8246,8246,
Stephens,1380,1668,7168,3,10219,10219,
