County,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_TOTAL VOTES,Total,
Glascock,274,116,420,0,810,810,
Lincoln,824,763,1607,0,3194,3194,
McDuffie,1193,2068,5226,0,8487,8487,
Taliaferro,151,223,298,0,672,672,
Warren,403,654,1109,0,2166,2166,
Wilkes,988,1013,2042,7,4050,4050,
