County,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_TOTAL VOTES,Total,
Baker,324,250,551,2,1127,1127,
Calhoun,475,376,757,0,1608,1608,
Decatur,1867,1537,5535,11,8950,8950,
Grady,2348,1571,4709,0,8628,8628,
Mitchell,1987,1352,3522,6,6867,6867,
