County,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_TOTAL VOTES,Total,
Baldwin,2764,2371,8077,2,13214,13214,
Greene,1191,1949,5980,5,9125,9125,
Hancock,599,648,1111,2,2360,2360,
Jasper,1684,1108,3843,12,6647,6647,
Jones,3452,2047,6777,5,12281,12281,
Morgan,2176,1387,6312,4,9879,9879,
Putnam,1821,2415,5702,0,9938,9938,
Wilkinson,1501,430,1487,6,3424,3424,
