County,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_TOTAL VOTES,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_TOTAL VOTES,Total,
Burke,1934,715,2833,0,5482,1436,1760,1790,0,4986,10468,
Columbia,13797,7968,30659,45,52469,4732,8351,13692,26,26801,79270,
Richmond,8703,7237,12654,0,28594,11733,19914,24876,0,56523,85117,
