County,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_TOTAL VOTES,Total,
Lee,3487,1873,8803,6,14169,14169,
Macon,735,564,1711,0,3010,3010,
Schley,310,221,1210,1,1742,1742,
Stewart,352,264,646,7,1269,1269,
Sumter,2111,2130,5329,14,9584,9584,
Webster,221,244,544,0,1009,1009,
