County,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_TOTAL VOTES,Total,
Fannin,4239,2696,6132,20,13087,13087,
Gilmer,4464,2605,7256,11,14336,14336,
Pickens,6160,2159,6647,7,14973,14973,
