County,Randy McGinley (Rep)_Election Day Votes,Randy McGinley (Rep)_Absentee by Mail Votes,Randy McGinley (Rep)_Advanced Voting Votes,Randy McGinley (Rep)_Provisional Votes,Randy McGinley (Rep)_TOTAL VOTES,Destiny Bryant (Dem)_Election Day Votes,Destiny Bryant (Dem)_Absentee by Mail Votes,Destiny Bryant (Dem)_Advanced Voting Votes,Destiny Bryant (Dem)_Provisional Votes,Destiny Bryant (Dem)_TOTAL VOTES,Total,
Newton,10699,4930,8002,15,23646,6876,10228,12403,20,29527,53173,
Walton,8956,6203,22544,0,37703,2108,3911,6054,0,12073,49776,
